case_name,outcome,self_reported_time,user_time,system_time,max_progress,max_memory_kb,exit_status,exit_signal
maple-like/benchmark.maple:0,Success,36.896908975,37.17218,0.019999,735,36064,0,
maple-like/benchmark.maple:1,Success,53.21906758,53.479725,0.030998,6159,38140,0,
maple-like/benchmark.maple:2,Success,2.829127673,3.110525,0.009001,748,18040,0,
maple-like/benchmark.maple:3,Timedout,,299.89156,0.102994,1626,195184,,9
maple-like/benchmark.maple:4,Timedout,,299.866762,0.133994,536,293072,,9
maple-like/benchmark.maple:5,Timedout,,299.879199,0.112994,1847,139400,,9
maple-like/benchmark.maple:6,Timedout,,299.852167,0.147991,1384,337472,,9
maple-like/benchmark.maple:7,Success,4.030891414,4.31618,0.014,1405,62640,0,
maple-like/benchmark.maple:8,Success,0.167824746,0.453811,0.001999,163,6520,0,
maple-like/benchmark.maple:9,Success,1.966074029,2.255021,0.004,375,16200,0,
maple-like/benchmark.maple:10,Success,37.415717057,37.686483,0.029998,936,82768,0,
maple-like/benchmark.maple:11,Timedout,,299.900361,0.097995,630,200376,,9
maple-like/benchmark.maple:12,Timedout,,299.898734,0.095994,434,225012,,9
maple-like/benchmark.maple:13,Timedout,,299.886923,0.106994,247,167676,,9
maple-like/benchmark.maple:14,Timedout,,299.957911,0.035999,11876,31112,,9
maple-like/benchmark.maple:15,Success,42.710603069,42.939643,0.099996,3742,256308,0,
maple-like/benchmark.maple:16,Timedout,,299.801494,0.201988,909,475376,,9
maple-like/benchmark.maple:17,Timedout,,299.641498,0.37698,547,820876,,9
maple-like/benchmark.maple:18,Success,5.05231606,5.33593,0.006999,1624,25152,0,
maple-like/benchmark.maple:19,Timedout,,299.914107,0.078996,7103,87084,,9
zokrates-bin/u8_different_from_zero.zok_bin,Success,0.316792945,0.316074,0.002,250,10076,0,
