case_name,outcome,self_reported_time,user_time,system_time,max_progress,max_memory_kb,exit_status,exit_signal
maple-like/benchmark.maple:0,Success,15.517134099,15.504569,0.009996,737,40724,0,
maple-like/benchmark.maple:1,Success,3.328116511,3.329959,0.0,2163,20892,0,
maple-like/benchmark.maple:2,Success,1.964637119,1.964131,0.00333,748,23520,0,
maple-like/benchmark.maple:3,Timedout,,299.676181,0.123281,3028,336204,,9
maple-like/benchmark.maple:4,Timedout,,299.695833,0.106623,608,459244,,9
maple-like/benchmark.maple:5,Success,207.924269792,207.760584,0.039982,1783,154012,0,
maple-like/benchmark.maple:6,Timedout,,299.651556,0.166604,2382,583532,,9
maple-like/benchmark.maple:7,Success,2.978230601,2.980587,0.003333,1405,72620,0,
maple-like/benchmark.maple:8,Success,0.076991606,0.076573,0.003331,134,9384,0,
maple-like/benchmark.maple:9,Success,0.746707827,0.746195,0.003332,305,14776,0,
maple-like/benchmark.maple:10,Success,10.298713979,10.285728,0.013326,638,61420,0,
maple-like/benchmark.maple:11,Success,106.294573968,106.159203,0.079962,1386,246484,0,
maple-like/benchmark.maple:12,Timedout,,299.761226,0.063308,478,338868,,9
maple-like/benchmark.maple:13,Timedout,,299.748361,0.036649,295,248424,,9
maple-like/benchmark.maple:14,Timedout,,299.802578,0.009907,12275,52572,,9
maple-like/benchmark.maple:15,Success,31.064831546,31.043816,0.023324,3742,301968,0,
maple-like/benchmark.maple:16,Timedout,,299.699081,0.186594,1007,762984,,9
maple-like/benchmark.maple:17,Timedout,,299.669227,0.229907,623,1299536,,9
maple-like/benchmark.maple:18,Success,19.239490751,19.214217,0.023317,2027,67980,0,
maple-like/benchmark.maple:19,Timedout,,299.852672,0.029987,7103,205016,,9
zokrates-bin/u8_different_from_zero.zok_bin,Success,0.265033662,0.265962,0.0,251,13736,0,
