case_name,outcome,self_reported_time,user_time,system_time,max_progress,max_memory_kb,exit_status,exit_signal
maple-like/benchmark.maple:0,Success,23.779506954,23.766035,0.006665,735,41688,0,
maple-like/benchmark.maple:1,Success,47.552822871000004,47.528768,0.009996,6159,41436,0,
maple-like/benchmark.maple:2,Success,1.881382199,1.884826,0.0,748,23260,0,
maple-like/benchmark.maple:3,Timedout,,299.778966,0.099947,3241,341672,,9
maple-like/benchmark.maple:4,Timedout,,299.780641,0.066632,618,469532,,9
maple-like/benchmark.maple:5,Success,229.026806681,228.864058,0.079965,1876,175076,0,
maple-like/benchmark.maple:6,Timedout,,299.748322,0.139956,2383,587204,,9
maple-like/benchmark.maple:7,Success,2.9982880830000003,2.999889,0.003329,1405,72872,0,
maple-like/benchmark.maple:8,Success,0.105770146,0.10861,0.0,163,9384,0,
maple-like/benchmark.maple:9,Success,1.232681259,1.228825,0.006661,375,21312,0,
maple-like/benchmark.maple:10,Success,25.103665026,25.086618,0.013325,936,104304,0,
maple-like/benchmark.maple:11,Timedout,,299.801003,0.083301,678,307456,,9
maple-like/benchmark.maple:12,Timedout,,299.768531,0.086626,557,469032,,9
maple-like/benchmark.maple:13,Timedout,,299.805353,0.076637,258,264804,,9
maple-like/benchmark.maple:14,Timedout,,299.848521,0.009995,11179,45836,,9
maple-like/benchmark.maple:15,Success,29.622910156,29.60197,0.033318,3742,302892,0,
maple-like/benchmark.maple:16,Timedout,,299.7928,0.103294,1012,771816,,9
maple-like/benchmark.maple:17,Timedout,,299.557869,0.343191,630,1324932,,9
maple-like/benchmark.maple:18,Success,3.727089956,3.7278729999999998,0.0,1624,29364,0,
maple-like/benchmark.maple:19,Timedout,,299.859733,0.023323,7103,202824,,9
zokrates-bin/u8_different_from_zero.zok_bin,Success,0.231153256,0.232125,0.0,250,13740,0,
