case_name,outcome,self_reported_time,user_time,system_time,max_progress,max_memory_kb,exit_status,exit_signal
maple-like/benchmark.maple:0,Success,24.461506433,24.445096,0.009977,736,41572,0,
maple-like/benchmark.maple:1,Success,29.583608033,29.556138,0.019991,6160,39340,0,
maple-like/benchmark.maple:2,Success,1.814469308,1.813863,0.003334,749,23384,0,
maple-like/benchmark.maple:3,Success,295.258759828,295.032564,0.139945,3865,363052,0,
maple-like/benchmark.maple:4,Timedout,,299.738187,0.139951,626,478248,,9
maple-like/benchmark.maple:5,Timedout,,299.77821,0.06996,1821,170036,,9
maple-like/benchmark.maple:6,Timedout,,299.744508,0.143284,1385,410584,,9
maple-like/benchmark.maple:7,Success,2.7273401919999998,2.7287369999999997,0.003332,1406,72748,0,
maple-like/benchmark.maple:8,Success,0.103470956,0.106354,0.0,164,9644,0,
maple-like/benchmark.maple:9,Success,1.4964520669999999,1.49604,0.003332,376,21196,0,
maple-like/benchmark.maple:10,Success,27.766478317,27.754801,0.00999,937,104028,0,
maple-like/benchmark.maple:11,Timedout,,299.824108,0.063313,682,313692,,9
maple-like/benchmark.maple:12,Timedout,,299.784954,0.103295,561,479672,,9
maple-like/benchmark.maple:13,Timedout,,299.739086,0.103273,256,258132,,9
maple-like/benchmark.maple:14,Timedout,,299.853802,0.029989,13579,40076,,9
maple-like/benchmark.maple:15,Success,12.483524302,12.486326,0.013329,3743,313464,0,
maple-like/benchmark.maple:16,Timedout,,299.705544,0.186586,1021,786304,,9
maple-like/benchmark.maple:17,Timedout,,299.57339,0.289855,622,1289792,,9
maple-like/benchmark.maple:18,Success,2.753456086,2.7493600000000002,0.00665,1625,29272,0,
maple-like/benchmark.maple:19,Timedout,,299.841241,0.033321,9865,113820,,9
r1cs-determinism/fb/AND@gates@circomlib.r1cs,Success,,0.000997,0.0,4,4760,0,
r1cs-determinism/fb/AliasCheck@aliascheck@circomlib.r1cs,Success,,0.0,0.001718,0,4760,0,
r1cs-determinism/fb/BabyAdd@babyjub@circomlib.r1cs,Success,,0.004163,0.0,113,7072,0,
r1cs-determinism/fb/BabyCheck@babyjub@circomlib.r1cs,Success,,0.000779,0.0,0,5012,0,
