case_name,outcome,self_reported_time,user_time,system_time,max_progress,max_memory_kb,exit_status,exit_signal
maple-like/benchmark.maple:0,Success,24.571042981,24.551747,0.013317,736,41212,0,
maple-like/benchmark.maple:1,Success,30.483743643,30.469087,0.003332,6160,39928,0,
maple-like/benchmark.maple:2,Success,1.819666603,1.819184,0.003331,749,23452,0,
maple-like/benchmark.maple:3,Success,295.3176163,295.12403,0.099955,3865,362804,0,
maple-like/benchmark.maple:4,Timedout,,299.760917,0.119953,627,478868,,9
maple-like/benchmark.maple:5,Timedout,,299.781496,0.086632,1822,166812,,9
maple-like/benchmark.maple:6,Timedout,,299.763977,0.119957,1385,410244,,9
maple-like/benchmark.maple:7,Success,2.655836794,2.64428,0.016652,1406,73108,0,
maple-like/benchmark.maple:8,Success,0.104313602,0.107167,0.0,164,9640,0,
maple-like/benchmark.maple:9,Success,1.516826133,1.509609,0.009998,376,20936,0,
maple-like/benchmark.maple:10,Success,27.949476311,27.913662,0.033316,937,102492,0,
maple-like/benchmark.maple:11,Timedout,,299.811386,0.073308,682,316220,,9
maple-like/benchmark.maple:12,Timedout,,299.75267,0.136617,561,479392,,9
maple-like/benchmark.maple:13,Timedout,,299.754259,0.096619,256,258036,,9
maple-like/benchmark.maple:14,Timedout,,299.857866,0.026657,13549,40216,,9
maple-like/benchmark.maple:15,Success,12.415129014,12.3913,0.039985,3743,313336,0,
maple-like/benchmark.maple:16,Timedout,,299.705959,0.186597,1019,787072,,9
maple-like/benchmark.maple:17,Timedout,,299.615516,0.25653,624,1296348,,9
maple-like/benchmark.maple:18,Success,2.757222553,2.756697,0.003334,1625,29272,0,
maple-like/benchmark.maple:19,Timedout,,299.851569,0.029986,9865,114060,,9
r1cs-determinism/fb/AND@gates@circomlib.r1cs,Success,,0.000972,0.0,4,4760,0,
r1cs-determinism/fb/AliasCheck@aliascheck@circomlib.r1cs,Success,,0.0,0.001764,0,4760,0,
r1cs-determinism/fb/BabyAdd@babyjub@circomlib.r1cs,Success,,0.003975,0.0,113,7068,0,
r1cs-determinism/fb/BabyCheck@babyjub@circomlib.r1cs,Success,,0.000829,0.0,0,5012,0,
r1cs-determinism/fb/BabyDbl@babyjub@circomlib.r1cs,Success,,0.0,0.001417,57,5016,0,
r1cs-determinism/fb/BabyPbk@babyjub@circomlib.r1cs,Timedout,,299.806523,0.093271,12838,472956,,9
r1cs-determinism/fb/BinSub@binsub@circomlib_16.r1cs,Timedout,,293.896567,6.366937,85,22481740,,9
r1cs-determinism/fb/BinSum@binsum@circomlib_32_2.r1cs,Timedout,,285.57699,13.49834,0,129110564,,9
r1cs-determinism/fb/BinSum@binsum@circomlib_32_5.r1cs,Timedout,,286.830543,12.986436,0,129056524,,9
r1cs-determinism/fb/BitElementMulAny@escalarmulany@circomlib.r1cs,Timedout,,299.079546,0.81299,672,2357460,,9
r1cs-determinism/fb/Bits2Num@bitify@circomlib_1.r1cs,Success,,0.000953,0.0,3,4760,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_128.r1cs,Success,,0.001015,0.0,3,5012,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_16.r1cs,Success,,0.000862,0.0,3,5012,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_253.r1cs,Success,,0.000925,0.0,3,4760,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_254.r1cs,Success,,0.000875,0.0,3,4756,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_256.r1cs,Success,,0.001346,0.0,3,7068,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_32.r1cs,Success,,0.000684,0.0,3,4756,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_64.r1cs,Success,,0.0,0.000711,3,5016,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_8.r1cs,Success,,0.000812,0.0,3,5016,0,
r1cs-determinism/fb/Bits2Num_strict@bitify@circomlib.r1cs,Success,,0.300247,0.003317,1539,11220,0,
r1cs-determinism/fb/Bits2Point@pointbits@circomlib.r1cs,Success,,0.000739,0.0,2,5012,0,
r1cs-determinism/fb/Bits2Point_Strict@pointbits@circomlib.r1cs,Timedout,,298.629676,1.2961,3605,16376676,,9
r1cs-determinism/fb/EdDSAMiMCSpongeVerifier@eddsamimcsponge@circomlib.r1cs,Success,,0.010281,0.030864,0,15004,0,
r1cs-determinism/fb/EdDSAMiMCVerifier@eddsamimc@circomlib.r1cs,Success,,0.009832,0.026245,0,12956,0,
r1cs-determinism/fb/EdDSAPoseidonVerifier@eddsaposeidon@circomlib.r1cs,Success,,0.009619,0.025647,0,12960,0,
r1cs-determinism/fb/Edwards2Montgomery@montgomery@circomlib.r1cs,Success,,0.000879,0.0,12,5012,0,
r1cs-determinism/fb/ForceEqualIfEnabled@comparators@circomlib.r1cs,Success,,0.00073,0.0,0,4760,0,
r1cs-determinism/fb/GreaterEqThan@comparators@circomlib_16.r1cs,Timedout,,295.634827,4.397931,1056,13643652,,9
r1cs-determinism/fb/GreaterEqThan@comparators@circomlib_32.r1cs,Timedout,,295.826542,4.231493,147,11330276,,9
r1cs-determinism/fb/GreaterEqThan@comparators@circomlib_8.r1cs,Timedout,,299.460622,0.44648,854,2388136,,9
r1cs-determinism/fb/GreaterThan@comparators@circomlib_16.r1cs,Timedout,,295.770996,4.26783,1056,13633220,,9
r1cs-determinism/fb/GreaterThan@comparators@circomlib_32.r1cs,Timedout,,295.90431,4.151461,147,11642160,,9
r1cs-determinism/fb/GreaterThan@comparators@circomlib_8.r1cs,Timedout,,299.45278,0.446477,845,2362916,,9
r1cs-determinism/fb/IsEqual@comparators@circomlib.r1cs,Success,,0.000974,0.0,14,5012,0,
r1cs-determinism/fb/IsZero@comparators@circomlib.r1cs,Success,,0.000919,0.0,7,5012,0,
r1cs-determinism/fb/LessEqThan@comparators@circomlib_16.r1cs,Timedout,,295.689745,4.361323,1058,13677668,,9
r1cs-determinism/fb/LessEqThan@comparators@circomlib_32.r1cs,Timedout,,295.703787,4.35132,147,11641320,,9
r1cs-determinism/fb/LessEqThan@comparators@circomlib_8.r1cs,Timedout,,299.456452,0.449812,855,2392824,,9
r1cs-determinism/fb/Montgomery2Edwards@montgomery@circomlib.r1cs,Success,,0.00104,0.0,13,5012,0,
r1cs-determinism/fb/MontgomeryAdd@montgomery@circomlib.r1cs,Success,,0.003632,0.0,74,7072,0,
