case_name,outcome,self_reported_time,user_time,system_time,max_progress,max_memory_kb,exit_status,exit_signal
maple-like/benchmark.maple:0,Success,24.442452393,24.425852,0.009997,736,41668,0,
maple-like/benchmark.maple:1,Success,31.291616184,31.275683,0.006663,6160,39736,0,
maple-like/benchmark.maple:2,Success,1.8147193449999999,1.817405,0.0,749,23456,0,
maple-like/benchmark.maple:3,Success,291.849927058,291.633201,0.123277,3865,362564,0,
maple-like/benchmark.maple:4,Timedout,,299.777106,0.106625,631,484804,,9
maple-like/benchmark.maple:5,Timedout,,299.780774,0.0933,1826,166052,,9
maple-like/benchmark.maple:6,Timedout,,299.792977,0.096633,1385,410300,,9
maple-like/benchmark.maple:7,Success,2.639590394,2.638829,0.006661,1406,72848,0,
maple-like/benchmark.maple:8,Success,0.102947585,0.105768,0.0,164,9644,0,
maple-like/benchmark.maple:9,Success,1.517161295,1.513029,0.006652,376,21260,0,
maple-like/benchmark.maple:10,Success,27.961090566,27.929891,0.029985,937,102232,0,
maple-like/benchmark.maple:11,Timedout,,299.798261,0.083302,683,317708,,9
maple-like/benchmark.maple:12,Timedout,,299.790826,0.103295,567,487884,,9
maple-like/benchmark.maple:13,Timedout,,299.781274,0.09329,257,259436,,9
maple-like/benchmark.maple:14,Timedout,,299.876808,0.013328,13619,39812,,9
maple-like/benchmark.maple:15,Success,12.465567716,12.472246,0.009997,3743,313316,0,
maple-like/benchmark.maple:16,Timedout,,299.697288,0.199925,1023,791440,,9
maple-like/benchmark.maple:17,Timedout,,299.625209,0.276549,624,1296476,,9
maple-like/benchmark.maple:18,Success,2.739522753,2.735697,0.006657,1625,28936,0,
maple-like/benchmark.maple:19,Timedout,,299.837836,0.03998,9865,111440,,9
r1cs-determinism/fb/AND@gates@circomlib.r1cs,Success,,0.000976,0.0,4,5012,0,
r1cs-determinism/fb/AliasCheck@aliascheck@circomlib.r1cs,Success,,0.0,0.001759,0,4760,0,
r1cs-determinism/fb/BabyAdd@babyjub@circomlib.r1cs,Success,,0.003955,0.0,113,7068,0,
r1cs-determinism/fb/BabyCheck@babyjub@circomlib.r1cs,Success,,0.000818,0.0,0,5012,0,
r1cs-determinism/fb/BabyDbl@babyjub@circomlib.r1cs,Success,,0.00157,0.0,57,5012,0,
