case_name,outcome,self_reported_time,user_time,system_time,max_progress,max_memory_kb,exit_status,exit_signal
maple-like/benchmark.maple:0,Success,25.052321614,25.038102,0.009994,736,39780,0,
maple-like/benchmark.maple:1,Success,13.411067887,13.397142,0.013327,6160,41964,0,
maple-like/benchmark.maple:2,Success,1.877242707,1.874334,0.006671,749,23492,0,
maple-like/benchmark.maple:3,Success,290.824315744,290.619642,0.123281,3865,359840,0,
maple-like/benchmark.maple:4,Timedout,,299.744495,0.133284,623,471376,,9
maple-like/benchmark.maple:5,Timedout,,299.767059,0.083292,1817,167104,,9
maple-like/benchmark.maple:6,Timedout,,299.789853,0.096626,1385,409848,,9
maple-like/benchmark.maple:7,Success,2.653835414,2.649103,0.009991,1406,72588,0,
maple-like/benchmark.maple:8,Success,0.104365606,0.107294,0.0,164,9640,0,
maple-like/benchmark.maple:9,Success,1.563645993,1.559838,0.006653,376,21240,0,
maple-like/benchmark.maple:10,Success,28.518600775,28.498674,0.016661,937,104376,0,
maple-like/benchmark.maple:11,Timedout,,299.795812,0.096634,681,314088,,9
maple-like/benchmark.maple:12,Timedout,,299.752884,0.136616,562,482284,,9
maple-like/benchmark.maple:13,Timedout,,299.759066,0.089955,256,258104,,9
maple-like/benchmark.maple:14,Success,185.643564454,185.525848,0.03665,19174,82748,0,
maple-like/benchmark.maple:15,Success,12.729544633,12.722399,0.023324,3743,313468,0,
maple-like/benchmark.maple:16,Timedout,,299.70921,0.183265,1018,783784,,9
maple-like/benchmark.maple:17,Timedout,,299.580355,0.316534,623,1292868,,9
maple-like/benchmark.maple:18,Success,2.7510210969999997,2.754404,0.0,1625,28692,0,
maple-like/benchmark.maple:19,Timedout,,299.616294,0.219865,24196,459672,,9
r1cs-determinism/fb/AND@gates@circomlib.r1cs,Success,,0.000932,0.0,4,5016,0,
r1cs-determinism/fb/AliasCheck@aliascheck@circomlib.r1cs,Success,,0.001752,0.0,0,4760,0,
r1cs-determinism/fb/BabyAdd@babyjub@circomlib.r1cs,Success,,0.002093,0.002094,113,5016,0,
r1cs-determinism/fb/BabyCheck@babyjub@circomlib.r1cs,Success,,0.000642,0.0,0,4760,0,
r1cs-determinism/fb/BabyDbl@babyjub@circomlib.r1cs,Success,,0.001786,0.0,57,5012,0,
r1cs-determinism/fb/BabyPbk@babyjub@circomlib.r1cs,Timedout,,299.486419,0.406486,3920,24852,,9
r1cs-determinism/fb/BinSub@binsub@circomlib_16.r1cs,Timedout,,294.045767,6.217581,83,22482916,,9
r1cs-determinism/fb/BinSum@binsum@circomlib_32_2.r1cs,Timedout,,286.102454,13.399354,0,128711708,,9
r1cs-determinism/fb/BinSum@binsum@circomlib_32_5.r1cs,Timedout,,286.512895,13.454066,0,128759916,,9
r1cs-determinism/fb/BitElementMulAny@escalarmulany@circomlib.r1cs,Timedout,,299.129554,0.769622,672,2355008,,9
r1cs-determinism/fb/Bits2Num@bitify@circomlib_1.r1cs,Success,,0.001296,0.0,3,5016,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_128.r1cs,Success,,0.0,0.001061,3,5016,0,
