case_name,outcome,self_reported_time,user_time,system_time,max_progress,max_memory_kb,exit_status,exit_signal
maple-like/benchmark.maple:0,Success,26.155521136,26.128852,0.019994,736,41436,0,
maple-like/benchmark.maple:1,Success,117.621459082,117.548219,0.033311,6160,44068,0,
maple-like/benchmark.maple:2,Success,1.862902858,1.8662860000000001,0.0,749,23336,0,
maple-like/benchmark.maple:3,Timedout,,299.804331,0.083301,3364,350340,,9
maple-like/benchmark.maple:4,Timedout,,299.805947,0.086633,623,472372,,9
maple-like/benchmark.maple:5,Timedout,,299.828765,0.059979,1080,102544,,9
maple-like/benchmark.maple:6,Timedout,,299.70987,0.176605,2389,588172,,9
maple-like/benchmark.maple:7,Success,2.7856503139999997,2.784936,0.006662,1406,72592,0,
maple-like/benchmark.maple:8,Success,0.194683663,0.194059,0.003289,164,9388,0,
maple-like/benchmark.maple:9,Success,2.705897396,2.708993,0.0,376,20976,0,
maple-like/benchmark.maple:10,Success,60.741700284,60.70019,0.019993,937,105312,0,
maple-like/benchmark.maple:11,Timedout,,299.785116,0.096631,631,238712,,9
maple-like/benchmark.maple:12,Timedout,,299.776055,0.106626,504,386552,,9
maple-like/benchmark.maple:13,Timedout,,299.826817,0.056646,244,199468,,9
maple-like/benchmark.maple:14,Timedout,,299.85829,0.029989,15587,45968,,9
maple-like/benchmark.maple:15,Success,31.172567994,31.147692,0.036649,3743,299248,0,
maple-like/benchmark.maple:16,Timedout,,299.705312,0.183259,1014,773984,,9
maple-like/benchmark.maple:17,Timedout,,299.60012,0.299879,629,1320824,,9
maple-like/benchmark.maple:18,Success,7.205734436,7.197924,0.006663,1625,28332,0,
maple-like/benchmark.maple:19,Timedout,,299.834499,0.039984,10566,76828,,9
r1cs-determinism/fb/AND@gates@circomlib.r1cs,Success,,0.00096,0.0,4,4752,0,
r1cs-determinism/fb/AliasCheck@aliascheck@circomlib.r1cs,Success,,0.0,0.001817,0,4496,0,
r1cs-determinism/fb/BabyAdd@babyjub@circomlib.r1cs,Success,,0.01245,0.0,113,6808,0,
r1cs-determinism/fb/BabyCheck@babyjub@circomlib.r1cs,Success,,0.000775,0.0,0,4752,0,
r1cs-determinism/fb/BabyDbl@babyjub@circomlib.r1cs,Success,,0.00185,0.0,57,4756,0,
r1cs-determinism/fb/BabyPbk@babyjub@circomlib.r1cs,Timedout,,299.71682,0.193229,12839,734172,,9
r1cs-determinism/fb/BinSub@binsub@circomlib_16.r1cs,Timedout,,294.004614,6.2507,84,22464588,,9
r1cs-determinism/fb/BinSum@binsum@circomlib_32_2.r1cs,Timedout,,286.390386,13.431574,0,127568816,,9
r1cs-determinism/fb/BinSum@binsum@circomlib_32_5.r1cs,Timedout,,282.746354,13.613226000000001,0,129473148,,9
r1cs-determinism/fb/BitElementMulAny@escalarmulany@circomlib.r1cs,Timedout,,299.094999,0.802974,671,2259532,,9
r1cs-determinism/fb/Bits2Num@bitify@circomlib_1.r1cs,Success,,0.001059,0.0,3,4752,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_128.r1cs,Success,,0.001097,0.0,3,4752,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_16.r1cs,Success,,0.000789,0.0,3,4756,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_253.r1cs,Success,,0.0,0.000962,3,4752,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_254.r1cs,Success,,0.001024,0.0,3,4752,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_256.r1cs,Success,,0.001078,0.0,3,6812,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_32.r1cs,Success,,0.0,0.000659,3,4756,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_64.r1cs,Success,,0.000694,0.0,3,4752,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_8.r1cs,Success,,0.000733,0.0,3,4756,0,
r1cs-determinism/fb/Bits2Num_strict@bitify@circomlib.r1cs,Success,,0.234573,0.00329,1539,10908,0,
r1cs-determinism/fb/Bits2Point@pointbits@circomlib.r1cs,Success,,0.000794,0.0,2,4756,0,
r1cs-determinism/fb/Bits2Point_Strict@pointbits@circomlib.r1cs,Timedout,,298.353064,1.569233,3605,20118004,,9
r1cs-determinism/fb/EdDSAMiMCSpongeVerifier@eddsamimcsponge@circomlib.r1cs,Success,,0.003492,0.038379,0,15000,0,
r1cs-determinism/fb/EdDSAMiMCVerifier@eddsamimc@circomlib.r1cs,Success,,0.010816,0.025249,0,12956,0,
r1cs-determinism/fb/EdDSAPoseidonVerifier@eddsaposeidon@circomlib.r1cs,Success,,0.003502,0.031616,0,12952,0,
r1cs-determinism/fb/Edwards2Montgomery@montgomery@circomlib.r1cs,Success,,0.000825,0.0,12,4500,0,
r1cs-determinism/fb/ForceEqualIfEnabled@comparators@circomlib.r1cs,Success,,0.0,0.000717,0,4756,0,
r1cs-determinism/fb/GreaterEqThan@comparators@circomlib_16.r1cs,Timedout,,296.825438,3.158414,741,7609144,,9
r1cs-determinism/fb/GreaterEqThan@comparators@circomlib_32.r1cs,Timedout,,295.603402,4.457826,147,11454252,,9
r1cs-determinism/fb/GreaterEqThan@comparators@circomlib_8.r1cs,Timedout,,299.551418,0.359858,777,2118112,,9
r1cs-determinism/fb/GreaterThan@comparators@circomlib_16.r1cs,Timedout,,296.733909,3.2549989999999998,747,7719544,,9
r1cs-determinism/fb/GreaterThan@comparators@circomlib_32.r1cs,Timedout,,295.669369,4.394531,147,11126816,,9
r1cs-determinism/fb/GreaterThan@comparators@circomlib_8.r1cs,Timedout,,299.510429,0.396498,779,2125756,,9
r1cs-determinism/fb/IsEqual@comparators@circomlib.r1cs,Success,,0.001079,0.0,14,4752,0,
r1cs-determinism/fb/IsZero@comparators@circomlib.r1cs,Success,,0.000899,0.0,7,4752,0,
r1cs-determinism/fb/LessEqThan@comparators@circomlib_16.r1cs,Timedout,,296.707134,3.288337,748,7751316,,9
r1cs-determinism/fb/LessEqThan@comparators@circomlib_32.r1cs,Timedout,,295.677451,4.394635,147,11475560,,9
r1cs-determinism/fb/LessEqThan@comparators@circomlib_8.r1cs,Timedout,,299.50589,0.403164,787,2142692,,9
r1cs-determinism/fb/Montgomery2Edwards@montgomery@circomlib.r1cs,Success,,0.001156,0.0,13,4756,0,
r1cs-determinism/fb/MontgomeryAdd@montgomery@circomlib.r1cs,Success,,0.005558,0.0,74,6812,0,
r1cs-determinism/fb/MontgomeryDouble@montgomery@circomlib.r1cs,Success,,0.049398,0.0,92,6808,0,
r1cs-determinism/fb/Multiplexor2@escalarmulany@circomlib.r1cs,Success,,0.001044,0.0,6,4756,0,
r1cs-determinism/fb/Mux1@mux1@circomlib.r1cs,Success,,0.000768,0.0,12,4752,0,
r1cs-determinism/fb/Mux2@mux2@circomlib.r1cs,Success,,0.001046,0.0,35,4752,0,
r1cs-determinism/fb/Mux3@mux3@circomlib.r1cs,Success,,0.004284,0.0,85,4752,0,
r1cs-determinism/fb/Mux4@mux4@circomlib.r1cs,Success,,219.293656,0.146605,3224,114784,0,
r1cs-determinism/fb/NAND@gates@circomlib.r1cs,Success,,0.0,0.00093,4,4756,0,
r1cs-determinism/fb/NOR@gates@circomlib.r1cs,Success,,0.000992,0.0,4,4756,0,
r1cs-determinism/fb/NOT@gates@circomlib.r1cs,Success,,0.000707,0.0,3,4756,0,
r1cs-determinism/fb/Num2Bits@bitify@circomlib_1.r1cs,Success,,0.000873,0.0,4,4752,0,
r1cs-determinism/fb/Num2Bits@bitify@circomlib_128.r1cs,Timedout,,285.35976900000003,14.001325,0,128509684,,9
r1cs-determinism/fb/Num2Bits@bitify@circomlib_16.r1cs,Timedout,,293.946295,6.28695,112,20545484,,9
r1cs-determinism/fb/Num2Bits@bitify@circomlib_253.r1cs,Timedout,,283.61219,14.891715,0,128620988,,9
r1cs-determinism/fb/Num2Bits@bitify@circomlib_254.r1cs,Timedout,,284.20895,14.949716,0,128615276,,9
r1cs-determinism/fb/Num2Bits@bitify@circomlib_256.r1cs,Timedout,,284.517573,14.55302,0,128602120,,9
r1cs-determinism/fb/Num2Bits@bitify@circomlib_32.r1cs,Timedout,,284.205349,14.096406,0,128661832,,9
r1cs-determinism/fb/Num2Bits@bitify@circomlib_64.r1cs,Timedout,,281.676969,15.37477,0,128509516,,9
r1cs-determinism/fb/Num2Bits@bitify@circomlib_8.r1cs,Timedout,,299.647011,0.26991,1709,1630460,,9
r1cs-determinism/fb/Num2BitsNeg@bitify@circomlib_1.r1cs,Success,,0.001079,0.0,17,4752,0,
r1cs-determinism/fb/Num2BitsNeg@bitify@circomlib_128.r1cs,Timedout,,284.650425,14.605838,0,128567348,,9
r1cs-determinism/fb/Num2BitsNeg@bitify@circomlib_16.r1cs,Timedout,,296.607823,3.425217,992,17486040,,9
r1cs-determinism/fb/Num2BitsNeg@bitify@circomlib_253.r1cs,Timedout,,284.702254,13.718787,0,128690872,,9
r1cs-determinism/fb/Num2BitsNeg@bitify@circomlib_254.r1cs,Timedout,,281.372952,15.517449,0,128640800,,9
r1cs-determinism/fb/Num2BitsNeg@bitify@circomlib_256.r1cs,Timedout,,282.685328,15.701163,0,128404496,,9
r1cs-determinism/fb/Num2BitsNeg@bitify@circomlib_32.r1cs,Timedout,,285.450507,14.30016,0,128605512,,9
r1cs-determinism/fb/Num2BitsNeg@bitify@circomlib_64.r1cs,Timedout,,285.635971,14.170211,0,128376364,,9
r1cs-determinism/fb/Num2BitsNeg@bitify@circomlib_8.r1cs,Timedout,,299.520554,0.36644,1310,964056,,9
r1cs-determinism/fb/Num2Bits_strict@bitify@circomlib.r1cs,Timedout,,284.13247,14.851068,0,128507128,,9
r1cs-determinism/fb/OR@gates@circomlib.r1cs,Success,,0.0,0.001855,4,4752,0,
r1cs-determinism/fb/Pedersen@pedersen@circomlib_1.r1cs,Timedout,,299.267354,0.58976,1569,453116,,9
r1cs-determinism/fb/Pedersen@pedersen@circomlib_128.r1cs,Timedout,,299.312705,0.606388,6142,1525828,,9
r1cs-determinism/fb/Pedersen@pedersen@circomlib_16.r1cs,Timedout,,298.405228,1.5393240000000001,1130,3040128,,9
r1cs-determinism/fb/Pedersen@pedersen@circomlib_253.r1cs,Timedout,,299.655645,0.20659,12505,427204,,9
r1cs-determinism/fb/Pedersen@pedersen@circomlib_254.r1cs,Timedout,,299.656958,0.223235,12468,405644,,9
r1cs-determinism/fb/Pedersen@pedersen@circomlib_256.r1cs,Timedout,,299.63007,0.23654,12470,405856,,9
r1cs-determinism/fb/Pedersen@pedersen@circomlib_32.r1cs,Timedout,,297.468557,2.488892,1666,3464912,,9
r1cs-determinism/fb/Pedersen@pedersen@circomlib_64.r1cs,Timedout,,298.566016,1.319247,3145,1646592,,9
r1cs-determinism/fb/Pedersen@pedersen@circomlib_8.r1cs,Timedout,,299.666187,0.223254,1612,63084,,9
r1cs-determinism/fb/Pedersen@pedersen_old@circomlib_1.r1cs,Success,,0.006356,0.0,210,4752,0,
r1cs-determinism/fb/Pedersen@pedersen_old@circomlib_128.r1cs,Timedout,,299.758837,0.093269,6896,122320,,9
r1cs-determinism/fb/Pedersen@pedersen_old@circomlib_16.r1cs,Timedout,,299.651423,0.193258,5279,420864,,9
r1cs-determinism/fb/Pedersen@pedersen_old@circomlib_253.r1cs,Timedout,,299.850783,0.043285,8843,63728,,9
r1cs-determinism/fb/Pedersen@pedersen_old@circomlib_254.r1cs,Timedout,,299.81498,0.073271,8845,63756,,9
r1cs-determinism/fb/Pedersen@pedersen_old@circomlib_256.r1cs,Timedout,,299.812494,0.049954,8953,63820,,9
r1cs-determinism/fb/Pedersen@pedersen_old@circomlib_32.r1cs,Timedout,,299.679985,0.189915,5514,337960,,9
r1cs-determinism/fb/Pedersen@pedersen_old@circomlib_64.r1cs,Timedout,,299.720315,0.139937,6002,242884,,9
r1cs-determinism/fb/Pedersen@pedersen_old@circomlib_8.r1cs,Success,,1.007083,0.0,754,8856,0,
r1cs-determinism/fb/Point2Bits@pointbits@circomlib.r1cs,Timedout,,281.695139,15.536157,0,128604192,,9
r1cs-determinism/fb/Point2Bits_Strict@pointbits@circomlib.r1cs,Timedout,,281.866379,15.316445,0,128587380,,9
r1cs-determinism/fb/SMTHash1@smthash_mimc@circomlib.r1cs,Timedout,,299.832931,0.043265,17193,157176,,9
r1cs-determinism/fb/SMTHash1@smthash_poseidon@circomlib.r1cs,Timedout,,299.6684,0.179916,5508,567076,,9
r1cs-determinism/fb/SMTHash2@smthash_mimc@circomlib.r1cs,Timedout,,299.783124,0.05664,17762,145380,,9
r1cs-determinism/fb/SMTHash2@smthash_poseidon@circomlib.r1cs,Timedout,,299.658073,0.183238,5839,481464,,9
