case_name,outcome,self_reported_time,user_time,system_time,max_progress,max_memory_kb,exit_status,exit_signal
maple-like/benchmark.maple:0,Success,24.086603675,24.07092,0.009995,736,40760,0,
maple-like/benchmark.maple:1,Success,9.901919678,9.893286,0.009994,6160,41980,0,
maple-like/benchmark.maple:2,Success,1.837219787,1.839726,0.0,749,23172,0,
maple-like/benchmark.maple:3,Success,299.301773989,299.097677,0.106616,3865,361552,0,
maple-like/benchmark.maple:4,Timedout,,299.771149,0.109962,634,490516,,9
maple-like/benchmark.maple:5,Timedout,,299.791721,0.089967,1806,162884,,9
maple-like/benchmark.maple:6,Timedout,,299.775219,0.079963,1347,385180,,9
maple-like/benchmark.maple:7,Success,2.371582129,2.367084,0.010001,1406,73076,0,
maple-like/benchmark.maple:8,Success,0.10568701,0.105268,0.003291,164,9640,0,
maple-like/benchmark.maple:9,Success,1.571367049,1.570808,0.003335,376,20840,0,
maple-like/benchmark.maple:10,Success,27.751388973,27.723196,0.026654,937,101364,0,
maple-like/benchmark.maple:11,Timedout,,299.828755,0.056647,662,285236,,9
maple-like/benchmark.maple:12,Timedout,,299.810637,0.086634,593,532364,,9
maple-like/benchmark.maple:13,Timedout,,299.832198,0.046643,258,262712,,9
maple-like/benchmark.maple:14,Success,165.030383563,164.921959,0.043315,19174,62656,0,
maple-like/benchmark.maple:15,Success,12.686070767,12.671866,0.029988,3743,313276,0,
maple-like/benchmark.maple:16,Timedout,,299.729276,0.166573,991,736548,,9
maple-like/benchmark.maple:17,Timedout,,299.605794,0.299876,621,1286996,,9
maple-like/benchmark.maple:18,Success,2.917162922,2.913006,0.006658,1625,29464,0,
maple-like/benchmark.maple:19,Timedout,,299.614038,0.23656,31650,616356,,9
r1cs-determinism/fb/AND@gates@circomlib.r1cs,Success,,0.0,0.001007,4,5016,0,
r1cs-determinism/fb/AliasCheck@aliascheck@circomlib.r1cs,Success,,0.001681,0.0,0,4760,0,
r1cs-determinism/fb/BabyAdd@babyjub@circomlib.r1cs,Success,,0.004366,0.0,113,7072,0,
r1cs-determinism/fb/BabyCheck@babyjub@circomlib.r1cs,Success,,0.000786,0.0,0,5012,0,
r1cs-determinism/fb/BabyDbl@babyjub@circomlib.r1cs,Success,,0.0016,0.0,57,5012,0,
r1cs-determinism/fb/BabyPbk@babyjub@circomlib.r1cs,Timedout,,299.734635,0.169911,12838,1092324,,9
r1cs-determinism/fb/BinSub@binsub@circomlib_16.r1cs,Timedout,,294.055742,6.17308,84,22485984,,9
r1cs-determinism/fb/BinSum@binsum@circomlib_32_2.r1cs,Timedout,,284.319054,14.745948,0,128437052,,9
r1cs-determinism/fb/BinSum@binsum@circomlib_32_5.r1cs,Timedout,,285.375973,14.685901,0,127056196,,9
r1cs-determinism/fb/BitElementMulAny@escalarmulany@circomlib.r1cs,Timedout,,299.003323,0.886174,672,2355344,,9
r1cs-determinism/fb/Bits2Num@bitify@circomlib_1.r1cs,Success,,0.000904,0.0,3,5012,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_128.r1cs,Success,,0.000976,0.0,3,5012,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_16.r1cs,Success,,0.000853,0.0,3,5016,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_253.r1cs,Success,,0.001197,0.0,3,5012,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_254.r1cs,Success,,0.0,0.001025,3,5012,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_256.r1cs,Success,,0.001083,0.0,3,7068,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_32.r1cs,Success,,0.000855,0.0,3,4756,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_64.r1cs,Success,,0.0,0.000825,3,5012,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_8.r1cs,Success,,0.000725,0.0,3,5012,0,
r1cs-determinism/fb/Bits2Num_strict@bitify@circomlib.r1cs,Success,,0.336066,0.003317,1539,10960,0,
r1cs-determinism/fb/Bits2Point@pointbits@circomlib.r1cs,Success,,0.000799,0.0,2,5016,0,
r1cs-determinism/fb/Bits2Point_Strict@pointbits@circomlib.r1cs,Timedout,,299.489515,0.406437,3605,1988800,,9
r1cs-determinism/fb/EdDSAMiMCSpongeVerifier@eddsamimcsponge@circomlib.r1cs,Success,,0.010072,0.030173,0,15008,0,
r1cs-determinism/fb/EdDSAMiMCVerifier@eddsamimc@circomlib.r1cs,Success,,0.006611,0.029816,0,12960,0,
r1cs-determinism/fb/EdDSAPoseidonVerifier@eddsaposeidon@circomlib.r1cs,Success,,0.003477,0.031318,0,12956,0,
r1cs-determinism/fb/Edwards2Montgomery@montgomery@circomlib.r1cs,Success,,0.000852,0.0,12,5012,0,
r1cs-determinism/fb/ForceEqualIfEnabled@comparators@circomlib.r1cs,Success,,0.000685,0.0,0,4756,0,
r1cs-determinism/fb/GreaterEqThan@comparators@circomlib_16.r1cs,Timedout,,296.060903,3.984614,963,11959848,,9
r1cs-determinism/fb/GreaterEqThan@comparators@circomlib_32.r1cs,Timedout,,295.808115,4.271485,147,11625528,,9
r1cs-determinism/fb/GreaterEqThan@comparators@circomlib_8.r1cs,Timedout,,299.477335,0.426482,738,2002144,,9
r1cs-determinism/fb/GreaterThan@comparators@circomlib_16.r1cs,Timedout,,295.978013,4.064484,959,11886884,,9
r1cs-determinism/fb/GreaterThan@comparators@circomlib_32.r1cs,Timedout,,295.510137,4.5645050000000005,147,11127168,,9
r1cs-determinism/fb/GreaterThan@comparators@circomlib_8.r1cs,Timedout,,299.472244,0.439828,739,2010824,,9
r1cs-determinism/fb/IsEqual@comparators@circomlib.r1cs,Success,,0.000885,0.0,14,5012,0,
r1cs-determinism/fb/IsZero@comparators@circomlib.r1cs,Success,,0.000878,0.0,7,4756,0,
r1cs-determinism/fb/LessEqThan@comparators@circomlib_16.r1cs,Timedout,,295.974857,4.071198,956,11802256,,9
r1cs-determinism/fb/LessEqThan@comparators@circomlib_32.r1cs,Timedout,,295.676942,4.404839,147,11641980,,9
r1cs-determinism/fb/LessEqThan@comparators@circomlib_8.r1cs,Timedout,,299.499166,0.406495,751,2044832,,9
r1cs-determinism/fb/Montgomery2Edwards@montgomery@circomlib.r1cs,Success,,0.001019,0.0,13,5012,0,
r1cs-determinism/fb/MontgomeryAdd@montgomery@circomlib.r1cs,Success,,0.003794,0.0,74,6816,0,
r1cs-determinism/fb/MontgomeryDouble@montgomery@circomlib.r1cs,Success,,0.005518,0.002749,92,7072,0,
r1cs-determinism/fb/Multiplexor2@escalarmulany@circomlib.r1cs,Success,,0.001008,0.0,6,4756,0,
r1cs-determinism/fb/Mux1@mux1@circomlib.r1cs,Success,,0.000806,0.0,12,5016,0,
r1cs-determinism/fb/Mux2@mux2@circomlib.r1cs,Success,,0.0,0.001086,35,5012,0,
r1cs-determinism/fb/Mux3@mux3@circomlib.r1cs,Success,,0.002428,0.0,85,7072,0,
r1cs-determinism/fb/Mux4@mux4@circomlib.r1cs,Success,,6.6770119999999995,0.023319,3224,198496,0,
r1cs-determinism/fb/NAND@gates@circomlib.r1cs,Success,,0.000778,0.0,4,5012,0,
r1cs-determinism/fb/NOR@gates@circomlib.r1cs,Success,,0.00094,0.0,4,5016,0,
r1cs-determinism/fb/NOT@gates@circomlib.r1cs,Success,,0.000642,0.0,3,4756,0,
r1cs-determinism/fb/Num2Bits@bitify@circomlib_1.r1cs,Success,,0.000766,0.0,4,5012,0,
r1cs-determinism/fb/Num2Bits@bitify@circomlib_128.r1cs,Timedout,,281.686785,15.245332,0,128574848,,9
r1cs-determinism/fb/Num2Bits@bitify@circomlib_16.r1cs,Timedout,,293.829475,6.406991,113,20761592,,9
r1cs-determinism/fb/Num2Bits@bitify@circomlib_253.r1cs,Timedout,,284.255329,14.748841,0,128544796,,9
r1cs-determinism/fb/Num2Bits@bitify@circomlib_254.r1cs,Timedout,,282.948297,14.857463,0,128542612,,9
r1cs-determinism/fb/Num2Bits@bitify@circomlib_256.r1cs,Timedout,,282.73384,15.252615,0,128528232,,9
r1cs-determinism/fb/Num2Bits@bitify@circomlib_32.r1cs,Timedout,,280.751719,15.732751,0,128564700,,9
r1cs-determinism/fb/Num2Bits@bitify@circomlib_64.r1cs,Timedout,,281.489149,15.636362,0,128525260,,9
r1cs-determinism/fb/Num2Bits@bitify@circomlib_8.r1cs,Timedout,,299.593198,0.319867,1730,1665140,,9
r1cs-determinism/fb/Num2BitsNeg@bitify@circomlib_1.r1cs,Success,,0.00097,0.0,17,5016,0,
r1cs-determinism/fb/Num2BitsNeg@bitify@circomlib_128.r1cs,Timedout,,283.895454,14.89179,0,128438764,,9
r1cs-determinism/fb/Num2BitsNeg@bitify@circomlib_16.r1cs,Timedout,,297.219359,2.801985,1016,17484824,,9
r1cs-determinism/fb/Num2BitsNeg@bitify@circomlib_253.r1cs,Timedout,,285.189398,14.682052,0,127990400,,9
r1cs-determinism/fb/Num2BitsNeg@bitify@circomlib_254.r1cs,Timedout,,283.192262,15.008771,0,128561652,,9
r1cs-determinism/fb/Num2BitsNeg@bitify@circomlib_256.r1cs,Timedout,,280.502192,15.856053,0,128550208,,9
r1cs-determinism/fb/Num2BitsNeg@bitify@circomlib_32.r1cs,Timedout,,281.803352,15.420275,0,128527960,,9
r1cs-determinism/fb/Num2BitsNeg@bitify@circomlib_64.r1cs,Timedout,,279.102314,15.831548,0,128440380,,9
r1cs-determinism/fb/Num2BitsNeg@bitify@circomlib_8.r1cs,Timedout,,299.552,0.29983,1292,938692,,9
r1cs-determinism/fb/Num2Bits_strict@bitify@circomlib.r1cs,Timedout,,285.670036,13.989703,0,127956224,,9
r1cs-determinism/fb/OR@gates@circomlib.r1cs,Success,,0.0,0.001431,4,5012,0,
r1cs-determinism/fb/Pedersen@pedersen@circomlib_1.r1cs,Timedout,,298.765725,1.1494469999999999,2472,3196888,,9
r1cs-determinism/fb/Pedersen@pedersen@circomlib_128.r1cs,Timedout,,299.221546,0.606282,4495,3186380,,9
r1cs-determinism/fb/Pedersen@pedersen@circomlib_16.r1cs,Timedout,,298.128926,1.829031,1151,7087884,,9
