case_name,outcome,self_reported_time,user_time,system_time,max_progress,max_memory_kb,exit_status,exit_signal
maple-like/benchmark.maple:0,Success,23.908388596,23.886214,0.019993,736,40304,0,
maple-like/benchmark.maple:1,Success,9.526609769,9.500307,0.026638,6160,41924,0,
maple-like/benchmark.maple:2,Success,1.854514617,1.857272,0.0,749,23688,0,
maple-like/benchmark.maple:3,Success,294.30303387,294.057525,0.156599,3865,362112,0,
maple-like/benchmark.maple:4,Timedout,,299.718021,0.159941,626,477456,,9
maple-like/benchmark.maple:5,Timedout,,299.801936,0.079955,1813,162600,,9
maple-like/benchmark.maple:6,Timedout,,299.790348,0.099966,1355,389308,,9
maple-like/benchmark.maple:7,Success,2.345610653,2.337119,0.013318,1406,72624,0,
maple-like/benchmark.maple:8,Success,0.104819264,0.107678,0.0,164,9388,0,
maple-like/benchmark.maple:9,Success,1.544102977,1.540371,0.006654,376,21140,0,
maple-like/benchmark.maple:10,Success,27.468549407,27.444035,0.023321,937,104456,0,
maple-like/benchmark.maple:11,Timedout,,299.805465,0.079959,663,285900,,9
maple-like/benchmark.maple:12,Timedout,,299.753919,0.103279,593,530420,,9
maple-like/benchmark.maple:13,Timedout,,299.800632,0.079966,258,263576,,9
maple-like/benchmark.maple:14,Success,163.003661021,162.894801,0.043316,19174,61320,0,
maple-like/benchmark.maple:15,Success,12.395803625,12.375385,0.036655,3743,313928,0,
maple-like/benchmark.maple:16,Timedout,,299.70265,0.193257,992,727884,,9
maple-like/benchmark.maple:17,Timedout,,299.593297,0.283173,623,1292656,,9
maple-like/benchmark.maple:18,Success,2.8489607550000002,2.843981,0.006659,1625,29516,0,
maple-like/benchmark.maple:19,Timedout,,299.608687,0.249876,32371,614756,,9
r1cs-determinism/fb/AND@gates@circomlib.r1cs,Success,,0.001011,0.0,4,5016,0,
r1cs-determinism/fb/AliasCheck@aliascheck@circomlib.r1cs,Success,,0.0,0.001793,0,4756,0,
r1cs-determinism/fb/BabyAdd@babyjub@circomlib.r1cs,Success,,0.004272,0.0,113,7068,0,
r1cs-determinism/fb/BabyCheck@babyjub@circomlib.r1cs,Success,,0.000638,0.0,0,5016,0,
r1cs-determinism/fb/BabyDbl@babyjub@circomlib.r1cs,Success,,0.001527,0.0,57,4760,0,
r1cs-determinism/fb/BabyPbk@babyjub@circomlib.r1cs,Timedout,,299.742411,0.159886,12838,1090572,,9
r1cs-determinism/fb/BinSub@binsub@circomlib_16.r1cs,Timedout,,293.80452,6.426537,84,22480740,,9
r1cs-determinism/fb/BinSum@binsum@circomlib_32_2.r1cs,Timedout,,284.499998,14.957175,0,127952144,,9
r1cs-determinism/fb/BinSum@binsum@circomlib_32_5.r1cs,Timedout,,285.614642,14.086214,0,127586204,,9
r1cs-determinism/fb/BitElementMulAny@escalarmulany@circomlib.r1cs,Timedout,,298.934395,0.962865,672,2351612,,9
r1cs-determinism/fb/Bits2Num@bitify@circomlib_1.r1cs,Success,,0.001199,0.0,3,5016,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_128.r1cs,Success,,0.0,0.001099,3,4756,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_16.r1cs,Success,,0.000756,0.0,3,5016,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_253.r1cs,Success,,0.000931,0.0,3,5012,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_254.r1cs,Success,,0.001042,0.0,3,5016,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_256.r1cs,Success,,0.001295,0.0,3,7072,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_32.r1cs,Success,,0.000828,0.0,3,5012,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_64.r1cs,Success,,0.000785,0.0,3,5016,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_8.r1cs,Success,,0.000702,0.0,3,5012,0,
r1cs-determinism/fb/Bits2Num_strict@bitify@circomlib.r1cs,Success,,0.314337,0.0,1539,11216,0,
r1cs-determinism/fb/Bits2Point@pointbits@circomlib.r1cs,Success,,0.00073,0.0,2,5016,0,
r1cs-determinism/fb/Bits2Point_Strict@pointbits@circomlib.r1cs,Timedout,,299.599769,0.296498,3605,1975292,,9
r1cs-determinism/fb/EdDSAMiMCSpongeVerifier@eddsamimcsponge@circomlib.r1cs,Success,,0.006368,0.035162,0,15008,0,
r1cs-determinism/fb/EdDSAMiMCVerifier@eddsamimc@circomlib.r1cs,Success,,0.013307,0.023263,0,12960,0,
