case_name,outcome,self_reported_time,user_time,system_time,max_progress,max_memory_kb,exit_status,exit_signal
maple-like/benchmark.maple:0,Success,27.952481352,27.927085,0.016663,736,41640,0,
maple-like/benchmark.maple:1,Success,26.568732882,26.544288,0.013328,6160,44104,0,
maple-like/benchmark.maple:2,Success,1.8164683689999999,1.818754,0.0,749,23808,0,
maple-like/benchmark.maple:3,Success,294.676322486,294.452217,0.133268,3865,362652,0,
maple-like/benchmark.maple:4,Timedout,,299.782339,0.099966,629,481472,,9
maple-like/benchmark.maple:5,Timedout,,299.799646,0.0833,1064,102700,,9
maple-like/benchmark.maple:6,Timedout,,299.796069,0.083303,1384,408328,,9
maple-like/benchmark.maple:7,Success,2.637897353,2.637412,0.00666,1406,72588,0,
maple-like/benchmark.maple:8,Success,0.190526863,0.193452,0.0,164,9644,0,
maple-like/benchmark.maple:9,Success,3.588939438,3.584596,0.006662,376,20948,0,
maple-like/benchmark.maple:10,Success,65.660188605,65.612726,0.026655,937,109208,0,
maple-like/benchmark.maple:11,Timedout,,299.831222,0.059978,636,248004,,9
maple-like/benchmark.maple:12,Timedout,,299.802812,0.086637,514,399156,,9
maple-like/benchmark.maple:13,Timedout,,299.792211,0.099965,244,201808,,9
maple-like/benchmark.maple:14,Success,160.159847421,160.051335,0.046648,19174,68264,0,
maple-like/benchmark.maple:15,Success,12.899757743,12.885039,0.029981,3743,313328,0,
maple-like/benchmark.maple:16,Timedout,,299.728162,0.169934,1020,787592,,9
maple-like/benchmark.maple:17,Timedout,,299.576097,0.329861,623,1289360,,9
maple-like/benchmark.maple:18,Success,6.213342039,6.205566,0.009998,1625,28952,0,
maple-like/benchmark.maple:19,Timedout,,299.730743,0.106607,22349,225492,,9
r1cs-determinism/fb/AND@gates@circomlib.r1cs,Success,,0.000923,0.0,4,5012,0,
r1cs-determinism/fb/AliasCheck@aliascheck@circomlib.r1cs,Success,,0.0,0.001548,0,4756,0,
r1cs-determinism/fb/BabyAdd@babyjub@circomlib.r1cs,Success,,0.012088,0.0,113,7072,0,
r1cs-determinism/fb/BabyCheck@babyjub@circomlib.r1cs,Success,,0.000717,0.0,0,4760,0,
r1cs-determinism/fb/BabyDbl@babyjub@circomlib.r1cs,Success,,0.001881,0.0,57,5016,0,
r1cs-determinism/fb/BabyPbk@babyjub@circomlib.r1cs,Timedout,,299.845553,0.053275,12838,436824,,9
r1cs-determinism/fb/BinSub@binsub@circomlib_16.r1cs,Timedout,,294.052711,6.220556,85,22480744,,9
r1cs-determinism/fb/BinSum@binsum@circomlib_32_2.r1cs,Timedout,,285.861141,13.906502,0,128263800,,9
r1cs-determinism/fb/BinSum@binsum@circomlib_32_5.r1cs,Timedout,,285.401739,14.55884,0,128163244,,9
r1cs-determinism/fb/BitElementMulAny@escalarmulany@circomlib.r1cs,Timedout,,298.941283,0.952891,672,2361812,,9
r1cs-determinism/fb/Bits2Num@bitify@circomlib_1.r1cs,Success,,0.000911,0.0,3,4760,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_128.r1cs,Success,,0.001167,0.0,3,5016,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_16.r1cs,Success,,0.000768,0.0,3,5016,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_253.r1cs,Success,,0.001105,0.0,3,5012,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_254.r1cs,Success,,0.0,0.001104,3,5016,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_256.r1cs,Success,,0.001005,0.0,3,7072,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_32.r1cs,Success,,0.000882,0.0,3,5012,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_64.r1cs,Success,,0.000835,0.0,3,5016,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_8.r1cs,Success,,0.000667,0.0,3,4756,0,
r1cs-determinism/fb/Bits2Num_strict@bitify@circomlib.r1cs,Success,,0.364335,0.003328,1539,11232,0,
r1cs-determinism/fb/Bits2Point@pointbits@circomlib.r1cs,Success,,0.0,0.000852,2,4756,0,
r1cs-determinism/fb/Bits2Point_Strict@pointbits@circomlib.r1cs,Timedout,,298.642101,1.282735,3605,16123000,,9
r1cs-determinism/fb/EdDSAMiMCSpongeVerifier@eddsamimcsponge@circomlib.r1cs,Success,,0.006551,0.036007,0,15008,0,
r1cs-determinism/fb/EdDSAMiMCVerifier@eddsamimc@circomlib.r1cs,Success,,0.003258,0.03268,0,12956,0,
r1cs-determinism/fb/EdDSAPoseidonVerifier@eddsaposeidon@circomlib.r1cs,Success,,0.003534,0.03181,0,12956,0,
r1cs-determinism/fb/Edwards2Montgomery@montgomery@circomlib.r1cs,Success,,0.0,0.000869,12,5016,0,
r1cs-determinism/fb/ForceEqualIfEnabled@comparators@circomlib.r1cs,Success,,0.00064,0.0,0,4756,0,
r1cs-determinism/fb/GreaterEqThan@comparators@circomlib_16.r1cs,Timedout,,295.633018,4.431261,1047,13486888,,9
r1cs-determinism/fb/GreaterEqThan@comparators@circomlib_32.r1cs,Timedout,,295.570275,4.511328,147,11383772,,9
r1cs-determinism/fb/GreaterEqThan@comparators@circomlib_8.r1cs,Timedout,,299.392414,0.506438,854,2387444,,9
r1cs-determinism/fb/GreaterThan@comparators@circomlib_16.r1cs,Timedout,,295.682774,4.381165,1038,13345144,,9
r1cs-determinism/fb/GreaterThan@comparators@circomlib_32.r1cs,Timedout,,295.651799,4.421419,147,11455088,,9
r1cs-determinism/fb/GreaterThan@comparators@circomlib_8.r1cs,Timedout,,299.516858,0.396508,849,2371588,,9
r1cs-determinism/fb/IsEqual@comparators@circomlib.r1cs,Success,,0.0,0.001039,14,5012,0,
r1cs-determinism/fb/IsZero@comparators@circomlib.r1cs,Success,,0.000996,0.0,7,5016,0,
r1cs-determinism/fb/LessEqThan@comparators@circomlib_16.r1cs,Timedout,,295.674268,4.381179,1042,13400708,,9
r1cs-determinism/fb/LessEqThan@comparators@circomlib_32.r1cs,Timedout,,295.694842,4.364736,147,10659472,,9
r1cs-determinism/fb/LessEqThan@comparators@circomlib_8.r1cs,Timedout,,299.412632,0.493123,855,2394636,,9
r1cs-determinism/fb/Montgomery2Edwards@montgomery@circomlib.r1cs,Success,,0.001052,0.0,13,4756,0,
r1cs-determinism/fb/MontgomeryAdd@montgomery@circomlib.r1cs,Success,,0.005559,0.0,74,7072,0,
