case_name,outcome,self_reported_time,user_time,system_time,max_progress,max_memory_kb,exit_status,exit_signal
maple-like/benchmark.maple:0,Success,29.24301432,29.214954,0.019984,736,43772,0,
maple-like/benchmark.maple:1,Success,10.522216885,10.513757,0.006665,6160,41180,0,
maple-like/benchmark.maple:2,Success,1.915891275,1.908552,0.009992,749,23480,0,
maple-like/benchmark.maple:3,Timedout,,299.753719,0.119949,3183,342740,,9
maple-like/benchmark.maple:4,Timedout,,299.751501,0.093288,619,469320,,9
maple-like/benchmark.maple:5,Timedout,,299.802452,0.073305,1781,156756,,9
maple-like/benchmark.maple:6,Timedout,,299.804805,0.086638,1344,384048,,9
maple-like/benchmark.maple:7,Success,2.444316024,2.449262,0.0,1406,72732,0,
maple-like/benchmark.maple:8,Success,0.114775274,0.114343,0.003364,164,9640,0,
maple-like/benchmark.maple:9,Success,1.626350832,1.625489,0.003337,376,21216,0,
maple-like/benchmark.maple:10,Success,29.155016201,29.133854,0.016661,937,104048,0,
maple-like/benchmark.maple:11,Timedout,,299.836193,0.053314,665,289572,,9
maple-like/benchmark.maple:12,Timedout,,299.78514,0.106626,550,462068,,9
maple-like/benchmark.maple:13,Timedout,,299.763676,0.086609,258,263352,,9
maple-like/benchmark.maple:14,Success,167.635033248,167.525264,0.039982,19174,55444,0,
maple-like/benchmark.maple:15,Success,14.933380024,14.905685,0.04332,3743,316252,0,
maple-like/benchmark.maple:16,Timedout,,299.708796,0.183262,983,727436,,9
maple-like/benchmark.maple:17,Timedout,,299.59558,0.303212,618,1277676,,9
maple-like/benchmark.maple:18,Success,3.11131731,3.107241,0.00666,1625,29024,0,
maple-like/benchmark.maple:19,Timedout,,299.55838,0.303188,30941,598636,,9
r1cs-determinism/fb/AND@gates@circomlib.r1cs,Success,,0.000894,0.0,4,5012,0,
r1cs-determinism/fb/AliasCheck@aliascheck@circomlib.r1cs,Success,,0.0,0.001645,0,4752,0,
r1cs-determinism/fb/BabyAdd@babyjub@circomlib.r1cs,Success,,0.004233,0.0,113,7064,0,
r1cs-determinism/fb/BabyCheck@babyjub@circomlib.r1cs,Success,,0.000808,0.0,0,5008,0,
r1cs-determinism/fb/BabyDbl@babyjub@circomlib.r1cs,Success,,0.001438,0.0,57,5012,0,
r1cs-determinism/fb/BabyPbk@babyjub@circomlib.r1cs,Timedout,,299.839162,0.063287,12838,438228,,9
r1cs-determinism/fb/BinSub@binsub@circomlib_16.r1cs,Timedout,,293.852355,6.400398,83,22486496,,9
r1cs-determinism/fb/BinSum@binsum@circomlib_32_2.r1cs,Timedout,,286.326068,13.920543,0,125845088,,9
r1cs-determinism/fb/BinSum@binsum@circomlib_32_5.r1cs,Timedout,,285.463424,14.534461,0,126486072,,9
r1cs-determinism/fb/BitElementMulAny@escalarmulany@circomlib.r1cs,Timedout,,298.950885,0.94284,673,2380848,,9
r1cs-determinism/fb/Bits2Num@bitify@circomlib_1.r1cs,Success,,0.000869,0.0,3,4756,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_128.r1cs,Success,,0.000969,0.0,3,4752,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_16.r1cs,Success,,0.000758,0.0,3,4756,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_253.r1cs,Success,,0.001031,0.0,3,4752,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_254.r1cs,Success,,0.0,0.001079,3,4752,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_256.r1cs,Success,,0.001164,0.0,3,6808,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_32.r1cs,Success,,0.000739,0.0,3,4752,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_64.r1cs,Success,,0.000707,0.0,3,4756,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_8.r1cs,Success,,0.000749,0.0,3,4752,0,
r1cs-determinism/fb/Bits2Num_strict@bitify@circomlib.r1cs,Success,,0.367706,0.006668,1539,11044,0,
r1cs-determinism/fb/Bits2Point@pointbits@circomlib.r1cs,Success,,0.0,0.000723,2,4756,0,
