case_name,outcome,self_reported_time,user_time,system_time,max_progress,max_memory_kb,exit_status,exit_signal
maple-like/benchmark.maple:0,Success,22.899056984,22.886092,0.009976,736,40092,0,
maple-like/benchmark.maple:1,Success,10.189578446,10.16302,0.026657,6160,43144,0,
maple-like/benchmark.maple:2,Success,1.81890836,1.81484,0.006661,749,23444,0,
maple-like/benchmark.maple:3,Success,289.131517091,288.949355,0.089965,3865,362724,0,
maple-like/benchmark.maple:4,Timedout,,299.73331,0.143264,634,485816,,9
maple-like/benchmark.maple:5,Success,248.935564539,248.723276,0.093277,1877,173864,0,
maple-like/benchmark.maple:6,Timedout,,299.731295,0.146604,1751,451508,,9
maple-like/benchmark.maple:7,Success,2.353813225,2.358793,0.0,1406,72528,0,
maple-like/benchmark.maple:8,Success,0.109366486,0.112211,0.0,164,9384,0,
maple-like/benchmark.maple:9,Success,1.483320784,1.48604,0.0,376,20760,0,
maple-like/benchmark.maple:10,Success,30.979763588,30.954043,0.019988,937,103948,0,
maple-like/benchmark.maple:11,Timedout,,299.779175,0.093287,666,289852,,9
maple-like/benchmark.maple:12,Timedout,,299.798174,0.083301,526,418080,,9
maple-like/benchmark.maple:13,Timedout,,299.771638,0.109956,259,266304,,9
maple-like/benchmark.maple:14,Success,167.668750233,167.558902,0.036649,19174,58852,0,
maple-like/benchmark.maple:15,Success,12.909027494,12.89466,0.029988,3743,313668,0,
maple-like/benchmark.maple:16,Timedout,,299.704484,0.179932,1004,757064,,9
maple-like/benchmark.maple:17,Timedout,,299.592001,0.316539,627,1307756,,9
maple-like/benchmark.maple:18,Success,3.03704661,3.032779,0.006665,1625,29476,0,
maple-like/benchmark.maple:19,Timedout,,299.560009,0.279864,31193,664764,,9
r1cs-determinism/fb/AND@gates@circomlib.r1cs,Success,,0.0,0.000964,4,4752,0,
r1cs-determinism/fb/AliasCheck@aliascheck@circomlib.r1cs,Success,,0.001789,0.0,0,4752,0,
r1cs-determinism/fb/BabyAdd@babyjub@circomlib.r1cs,Success,,0.002048,0.002052,113,4752,0,
r1cs-determinism/fb/BabyCheck@babyjub@circomlib.r1cs,Success,,0.000776,0.0,0,4752,0,
r1cs-determinism/fb/BabyDbl@babyjub@circomlib.r1cs,Success,,0.001513,0.0,57,4756,0,
r1cs-determinism/fb/BabyPbk@babyjub@circomlib.r1cs,Timedout,,299.84006,0.056612,12838,458036,,9
r1cs-determinism/fb/BinSub@binsub@circomlib_16.r1cs,Timedout,,293.705009,6.529841,85,22484648,,9
r1cs-determinism/fb/BinSum@binsum@circomlib_32_2.r1cs,Timedout,,284.427944,15.085639,0,129424316,,9
r1cs-determinism/fb/BinSum@binsum@circomlib_32_5.r1cs,Timedout,,283.439941,15.128486,0,128318968,,9
r1cs-determinism/fb/BitElementMulAny@escalarmulany@circomlib.r1cs,Timedout,,299.026068,0.879575,674,2487360,,9
