case_name,outcome,self_reported_time,user_time,system_time,max_progress,max_memory_kb,exit_status,exit_signal
maple-like/benchmark.maple:0,Success,22.730950986,22.708165,0.016653,736,41472,0,
maple-like/benchmark.maple:1,Success,10.288505651,10.270949,0.016658,6160,43240,0,
maple-like/benchmark.maple:2,Success,1.792133518,1.791202,0.003334,749,23460,0,
maple-like/benchmark.maple:3,Success,280.803787135,280.588557,0.126615,3865,363464,0,
maple-like/benchmark.maple:4,Timedout,,299.785388,0.096628,640,496472,,9
maple-like/benchmark.maple:5,Success,251.343054455,251.16106,0.083306,1877,173872,0,
maple-like/benchmark.maple:6,Timedout,,299.771764,0.103286,1736,447956,,9
maple-like/benchmark.maple:7,Success,2.283634715,2.286229,0.003332,1406,72280,0,
maple-like/benchmark.maple:8,Success,0.110621604,0.110161,0.003339,164,9388,0,
maple-like/benchmark.maple:9,Success,1.4909598929999999,1.493844,0.0,376,21020,0,
maple-like/benchmark.maple:10,Success,30.589658299,30.559624,0.023323,937,103952,0,
maple-like/benchmark.maple:11,Timedout,,299.80928,0.073296,668,291684,,9
maple-like/benchmark.maple:12,Timedout,,299.798391,0.0933,550,461196,,9
maple-like/benchmark.maple:13,Timedout,,299.783741,0.089945,259,266848,,9
maple-like/benchmark.maple:14,Success,162.562003133,162.441343,0.053311,19174,59020,0,
maple-like/benchmark.maple:15,Success,12.82726888,12.829654,0.013327,3743,313484,0,
maple-like/benchmark.maple:16,Timedout,,299.686033,0.206572,1007,762488,,9
maple-like/benchmark.maple:17,Timedout,,299.614012,0.283217,628,1316364,,9
maple-like/benchmark.maple:18,Success,2.952622891,2.943694,0.010001,1625,29736,0,
maple-like/benchmark.maple:19,Timedout,,299.550928,0.299852,32331,671100,,9
r1cs-determinism/fb/AND@gates@circomlib.r1cs,Success,,0.000937,0.0,4,4752,0,
r1cs-determinism/fb/AliasCheck@aliascheck@circomlib.r1cs,Success,,0.0,0.001665,0,5008,0,
r1cs-determinism/fb/BabyAdd@babyjub@circomlib.r1cs,Success,,0.003987,0.0,113,4756,0,
r1cs-determinism/fb/BabyCheck@babyjub@circomlib.r1cs,Success,,0.000806,0.0,0,5012,0,
r1cs-determinism/fb/BabyDbl@babyjub@circomlib.r1cs,Success,,0.001485,0.0,57,5008,0,
r1cs-determinism/fb/BabyPbk@babyjub@circomlib.r1cs,Timedout,,299.82639,0.06994,12838,457784,,9
r1cs-determinism/fb/BinSub@binsub@circomlib_16.r1cs,Timedout,,293.698032,6.570213,85,22480172,,9
r1cs-determinism/fb/BinSum@binsum@circomlib_32_2.r1cs,Timedout,,282.977206,15.930571,0,128358720,,9
r1cs-determinism/fb/BinSum@binsum@circomlib_32_5.r1cs,Timedout,,281.89787,15.85717,0,128486648,,9
r1cs-determinism/fb/BitElementMulAny@escalarmulany@circomlib.r1cs,Timedout,,298.968366,0.936229,674,2491320,,9
r1cs-determinism/fb/Bits2Num@bitify@circomlib_1.r1cs,Success,,0.00097,0.0,3,4752,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_128.r1cs,Success,,0.0011,0.0,3,4756,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_16.r1cs,Success,,0.000808,0.0,3,4756,0,
