case_name,outcome,self_reported_time,user_time,system_time,max_progress,max_memory_kb,exit_status,exit_signal
maple-like/benchmark.maple:0,Success,6.405259602,6.3922039999999996,0.019986,736,109756,0,
maple-like/benchmark.maple:1,Success,8.897516726,8.886523,0.013328,6160,47608,0,
maple-like/benchmark.maple:2,Success,1.618789569,1.618712,0.00333,749,24736,0,
maple-like/benchmark.maple:3,Success,132.228160239,132.150031,0.083298,3865,734128,0,
maple-like/benchmark.maple:4,Timedout,,299.636766,0.276552,1312,2388788,,9
maple-like/benchmark.maple:5,Success,66.569103413,66.507939,0.106617,1877,1106476,0,
maple-like/benchmark.maple:6,Timedout,,299.670754,0.236579,3015,1993216,,9
maple-like/benchmark.maple:7,Success,0.76896338,0.772771,0.0,1406,40104,0,
maple-like/benchmark.maple:8,Success,0.070743279,0.073568,0.0,164,11436,0,
maple-like/benchmark.maple:9,Success,0.635054393,0.632244,0.006656,376,37008,0,
maple-like/benchmark.maple:10,Success,8.606486571,8.571115,0.049967,937,307652,0,
maple-like/benchmark.maple:11,Success,102.862869282,102.724634,0.226525,2140,2606040,0,
maple-like/benchmark.maple:12,Timedout,,299.064272,0.87295,3312,11126164,,9
maple-like/benchmark.maple:13,Timedout,,299.134514,0.789681,2385,10561580,,9
maple-like/benchmark.maple:14,Success,161.865857829,161.74892,0.053311,19174,59024,0,
maple-like/benchmark.maple:15,Success,2.519467171,2.513931,0.029968,3743,457888,0,
maple-like/benchmark.maple:16,Timedout,,299.655227,0.253223,1167,2359692,,9
maple-like/benchmark.maple:17,Timedout,,299.474577,0.406425,1037,3968204,,9
maple-like/benchmark.maple:18,Success,6.446715987,6.441843,0.016654,1625,198740,0,
maple-like/benchmark.maple:19,Timedout,,299.628385,0.233238,32431,654780,,9
r1cs-determinism/fb/AND@gates@circomlib.r1cs,Success,,0.0,0.001027,4,4756,0,
r1cs-determinism/fb/AliasCheck@aliascheck@circomlib.r1cs,Success,,0.0022,0.0,0,5012,0,
r1cs-determinism/fb/BabyAdd@babyjub@circomlib.r1cs,Success,,0.002148,0.002145,113,4752,0,
r1cs-determinism/fb/BabyCheck@babyjub@circomlib.r1cs,Success,,0.000683,0.0,0,4756,0,
r1cs-determinism/fb/BabyDbl@babyjub@circomlib.r1cs,Success,,0.001715,0.0,57,4756,0,
r1cs-determinism/fb/BabyPbk@babyjub@circomlib.r1cs,Timedout,,296.486193,3.517893,12951,27585572,,9
r1cs-determinism/fb/BinSub@binsub@circomlib_16.r1cs,Timedout,,289.092859,11.460116,202,49936224,,9
r1cs-determinism/fb/BinSum@binsum@circomlib_32_2.r1cs,Timedout,,284.199387,15.689395,0,127455512,,9
r1cs-determinism/fb/BinSum@binsum@circomlib_32_5.r1cs,Timedout,,283.701853,15.494387,0,127644744,,9
r1cs-determinism/fb/BitElementMulAny@escalarmulany@circomlib.r1cs,Timedout,,297.254333,2.7551740000000002,5219,24382212,,9
r1cs-determinism/fb/Bits2Num@bitify@circomlib_1.r1cs,Success,,0.0,0.000926,3,4756,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_128.r1cs,Success,,0.00093,0.0,3,4752,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_16.r1cs,Success,,0.000787,0.0,3,4752,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_253.r1cs,Success,,0.0,0.000907,3,4752,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_254.r1cs,Success,,0.001012,0.0,3,5012,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_256.r1cs,Success,,0.001307,0.0,3,6812,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_32.r1cs,Success,,0.0,0.000823,3,5008,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_64.r1cs,Success,,0.000767,0.0,3,4756,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_8.r1cs,Success,,0.000701,0.0,3,4752,0,
r1cs-determinism/fb/Bits2Num_strict@bitify@circomlib.r1cs,Success,,0.348723,0.00663,1539,13136,0,
r1cs-determinism/fb/Bits2Point@pointbits@circomlib.r1cs,Success,,0.000825,0.0,2,4756,0,
r1cs-determinism/fb/Bits2Point_Strict@pointbits@circomlib.r1cs,Timedout,,297.212604,2.821721,3771,15242516,,9
r1cs-determinism/fb/EdDSAMiMCSpongeVerifier@eddsamimcsponge@circomlib.r1cs,Success,,0.006431,0.035316,0,15260,0,
r1cs-determinism/fb/EdDSAMiMCVerifier@eddsamimc@circomlib.r1cs,Success,,0.003426,0.034227,0,12952,0,
r1cs-determinism/fb/EdDSAPoseidonVerifier@eddsaposeidon@circomlib.r1cs,Success,,0.006182,0.027871,0,12956,0,
r1cs-determinism/fb/Edwards2Montgomery@montgomery@circomlib.r1cs,Success,,0.000995,0.0,12,4752,0,
r1cs-determinism/fb/ForceEqualIfEnabled@comparators@circomlib.r1cs,Success,,0.000847,0.0,0,4756,0,
r1cs-determinism/fb/GreaterEqThan@comparators@circomlib_16.r1cs,Timedout,,298.241254,1.7490860000000001,714,11375000,,9
r1cs-determinism/fb/GreaterEqThan@comparators@circomlib_32.r1cs,Timedout,,295.755733,4.360777,639,29640428,,9
r1cs-determinism/fb/GreaterEqThan@comparators@circomlib_8.r1cs,Timedout,,298.628929,1.342659,559,9304988,,9
r1cs-determinism/fb/GreaterThan@comparators@circomlib_16.r1cs,Timedout,,298.285281,1.705791,715,11431324,,9
r1cs-determinism/fb/GreaterThan@comparators@circomlib_32.r1cs,Timedout,,295.773607,4.347475,639,29588072,,9
r1cs-determinism/fb/GreaterThan@comparators@circomlib_8.r1cs,Timedout,,298.664464,1.30605,566,9470500,,9
r1cs-determinism/fb/IsEqual@comparators@circomlib.r1cs,Success,,0.001034,0.0,14,4752,0,
r1cs-determinism/fb/IsZero@comparators@circomlib.r1cs,Success,,0.0,0.000936,7,4752,0,
r1cs-determinism/fb/LessEqThan@comparators@circomlib_16.r1cs,Timedout,,298.410884,1.58586,717,11622108,,9
r1cs-determinism/fb/LessEqThan@comparators@circomlib_32.r1cs,Timedout,,295.956941,4.161035,635,29296168,,9
r1cs-determinism/fb/LessEqThan@comparators@circomlib_8.r1cs,Timedout,,298.552308,1.382498,556,9241276,,9
r1cs-determinism/fb/Montgomery2Edwards@montgomery@circomlib.r1cs,Success,,0.001078,0.0,13,4752,0,
r1cs-determinism/fb/MontgomeryAdd@montgomery@circomlib.r1cs,Success,,0.003699,0.0,74,7068,0,
r1cs-determinism/fb/MontgomeryDouble@montgomery@circomlib.r1cs,Success,,0.005501,0.0,92,7068,0,
r1cs-determinism/fb/Multiplexor2@escalarmulany@circomlib.r1cs,Success,,0.001009,0.0,6,4756,0,
r1cs-determinism/fb/Mux1@mux1@circomlib.r1cs,Success,,0.000805,0.0,12,5008,0,
r1cs-determinism/fb/Mux2@mux2@circomlib.r1cs,Success,,0.0,0.00129,35,4752,0,
r1cs-determinism/fb/Mux3@mux3@circomlib.r1cs,Success,,0.002734,0.0,85,4752,0,
r1cs-determinism/fb/Mux4@mux4@circomlib.r1cs,Success,,4.740333,0.009993,3224,59844,0,
r1cs-determinism/fb/NAND@gates@circomlib.r1cs,Success,,0.001017,0.0,4,4756,0,
r1cs-determinism/fb/NOR@gates@circomlib.r1cs,Success,,0.000763,0.0,4,4756,0,
