case_name,outcome,self_reported_time,user_time,system_time,max_progress,max_memory_kb,exit_status,exit_signal
maple-like/benchmark.maple:0,Success,24.912756725,24.889371,0.016659,736,40736,0,
maple-like/benchmark.maple:1,Success,10.514875703,10.49488,0.01999,6160,43124,0,
maple-like/benchmark.maple:2,Success,1.819032724,1.8174649999999999,0.003334,749,23408,0,
maple-like/benchmark.maple:3,Timedout,,299.780345,0.086626,3285,344820,,9
maple-like/benchmark.maple:4,Timedout,,299.776382,0.093298,619,471956,,9
maple-like/benchmark.maple:5,Success,241.237667424,241.044434,0.096624,1877,171888,0,
maple-like/benchmark.maple:6,Timedout,,299.667441,0.219916,2527,611408,,9
maple-like/benchmark.maple:7,Success,2.489539686,2.4887,0.006664,1406,72572,0,
maple-like/benchmark.maple:8,Success,0.10814354,0.108033,0.003275,164,9384,0,
maple-like/benchmark.maple:9,Success,1.212062649,1.208956,0.006661,376,20916,0,
maple-like/benchmark.maple:10,Success,24.304936744,24.284467,0.01999,937,103580,0,
maple-like/benchmark.maple:11,Timedout,,299.809361,0.069972,679,308284,,9
maple-like/benchmark.maple:12,Timedout,,299.77158,0.119954,592,528220,,9
maple-like/benchmark.maple:13,Timedout,,299.782187,0.096625,259,267040,,9
maple-like/benchmark.maple:14,Success,161.995452927,161.888594,0.046648,19174,59112,0,
maple-like/benchmark.maple:15,Success,13.551857811,13.533726,0.033318,3743,310908,0,
maple-like/benchmark.maple:16,Timedout,,299.712185,0.176591,1016,773728,,9
maple-like/benchmark.maple:17,Timedout,,299.661307,0.236574,632,1330716,,9
maple-like/benchmark.maple:18,Success,3.344328709,3.339037,0.006659,1625,29272,0,
maple-like/benchmark.maple:19,Timedout,,299.528713,0.313198,31502,665744,,9
r1cs-determinism/fb/AND@gates@circomlib.r1cs,Success,,0.000696,0.0,4,4756,0,
r1cs-determinism/fb/AliasCheck@aliascheck@circomlib.r1cs,Success,,0.0,0.001985,0,4756,0,
r1cs-determinism/fb/BabyAdd@babyjub@circomlib.r1cs,Success,,0.0043,0.0,113,4752,0,
r1cs-determinism/fb/BabyCheck@babyjub@circomlib.r1cs,Success,,0.000651,0.0,0,4752,0,
r1cs-determinism/fb/BabyDbl@babyjub@circomlib.r1cs,Success,,0.001884,0.0,57,5012,0,
r1cs-determinism/fb/BabyPbk@babyjub@circomlib.r1cs,Timedout,,299.81072,0.059924,12838,457704,,9
r1cs-determinism/fb/BinSub@binsub@circomlib_16.r1cs,Timedout,,293.986986,6.297078,82,22256724,,9
r1cs-determinism/fb/BinSum@binsum@circomlib_32_2.r1cs,Timedout,,284.702974,14.790127,0,126867228,,9
r1cs-determinism/fb/BinSum@binsum@circomlib_32_5.r1cs,Timedout,,284.116227,15.571459,0,127602328,,9
r1cs-determinism/fb/BitElementMulAny@escalarmulany@circomlib.r1cs,Timedout,,299.026666,0.859557,672,2344208,,9
r1cs-determinism/fb/Bits2Num@bitify@circomlib_1.r1cs,Success,,0.001002,0.0,3,4756,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_128.r1cs,Success,,0.001152,0.0,3,4756,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_16.r1cs,Success,,0.000812,0.0,3,4756,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_253.r1cs,Success,,0.001115,0.0,3,4756,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_254.r1cs,Success,,0.0,0.001068,3,4756,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_256.r1cs,Success,,0.001089,0.0,3,6812,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_32.r1cs,Success,,0.000702,0.0,3,4752,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_64.r1cs,Success,,0.0,0.000802,3,4756,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_8.r1cs,Success,,0.000708,0.0,3,4756,0,
r1cs-determinism/fb/Bits2Num_strict@bitify@circomlib.r1cs,Success,,0.430425,0.003321,1539,13220,0,
r1cs-determinism/fb/Bits2Point@pointbits@circomlib.r1cs,Success,,0.000822,0.0,2,4752,0,
r1cs-determinism/fb/Bits2Point_Strict@pointbits@circomlib.r1cs,Timedout,,299.719761,0.169909,3604,804860,,9
r1cs-determinism/fb/EdDSAMiMCSpongeVerifier@eddsamimcsponge@circomlib.r1cs,Success,,0.006902,0.034463,0,15000,0,
r1cs-determinism/fb/EdDSAMiMCVerifier@eddsamimc@circomlib.r1cs,Success,,0.006654,0.030047,0,12956,0,
r1cs-determinism/fb/EdDSAPoseidonVerifier@eddsaposeidon@circomlib.r1cs,Success,,0.003476,0.031269,0,12956,0,
r1cs-determinism/fb/Edwards2Montgomery@montgomery@circomlib.r1cs,Success,,0.001061,0.0,12,4752,0,
r1cs-determinism/fb/ForceEqualIfEnabled@comparators@circomlib.r1cs,Success,,0.0,0.000751,0,4756,0,
r1cs-determinism/fb/GreaterEqThan@comparators@circomlib_16.r1cs,Timedout,,296.390389,3.644891,856,9852040,,9
r1cs-determinism/fb/GreaterEqThan@comparators@circomlib_32.r1cs,Timedout,,296.227983,3.824969,146,10252004,,9
r1cs-determinism/fb/GreaterEqThan@comparators@circomlib_8.r1cs,Timedout,,299.52348,0.396506,798,2180624,,9
r1cs-determinism/fb/GreaterThan@comparators@circomlib_16.r1cs,Timedout,,296.402054,3.624853,853,9772900,,9
r1cs-determinism/fb/GreaterThan@comparators@circomlib_32.r1cs,Timedout,,296.031599,4.018016,146,10063236,,9
r1cs-determinism/fb/GreaterThan@comparators@circomlib_8.r1cs,Timedout,,299.465259,0.446471,792,2167520,,9
r1cs-determinism/fb/IsEqual@comparators@circomlib.r1cs,Success,,0.00103,0.0,14,4752,0,
r1cs-determinism/fb/IsZero@comparators@circomlib.r1cs,Success,,0.0,0.000917,7,4756,0,
r1cs-determinism/fb/LessEqThan@comparators@circomlib_16.r1cs,Timedout,,296.082946,3.941389,850,9723780,,9
r1cs-determinism/fb/LessEqThan@comparators@circomlib_32.r1cs,Timedout,,295.887822,4.167902,146,10329840,,9
r1cs-determinism/fb/LessEqThan@comparators@circomlib_8.r1cs,Timedout,,299.416821,0.496467,802,2193776,,9
r1cs-determinism/fb/Montgomery2Edwards@montgomery@circomlib.r1cs,Success,,0.001205,0.0,13,4752,0,
r1cs-determinism/fb/MontgomeryAdd@montgomery@circomlib.r1cs,Success,,0.003757,0.0,74,6812,0,
r1cs-determinism/fb/MontgomeryDouble@montgomery@circomlib.r1cs,Success,,0.003179,0.006356,92,6812,0,
r1cs-determinism/fb/Multiplexor2@escalarmulany@circomlib.r1cs,Success,,0.00093,0.0,6,4496,0,
r1cs-determinism/fb/Mux1@mux1@circomlib.r1cs,Success,,0.000854,0.0,12,4756,0,
r1cs-determinism/fb/Mux2@mux2@circomlib.r1cs,Success,,0.001143,0.0,35,4756,0,
r1cs-determinism/fb/Mux3@mux3@circomlib.r1cs,Success,,0.002835,0.0,85,4752,0,
r1cs-determinism/fb/Mux4@mux4@circomlib.r1cs,Success,,6.72807,0.026643,3224,103260,0,
r1cs-determinism/fb/NAND@gates@circomlib.r1cs,Success,,0.00094,0.0,4,4752,0,
r1cs-determinism/fb/NOR@gates@circomlib.r1cs,Success,,0.0,0.000795,4,4752,0,
r1cs-determinism/fb/NOT@gates@circomlib.r1cs,Success,,0.000693,0.0,3,4752,0,
r1cs-determinism/fb/Num2Bits@bitify@circomlib_1.r1cs,Success,,0.000664,0.0,4,4756,0,
r1cs-determinism/fb/Num2Bits@bitify@circomlib_128.r1cs,Timedout,,284.556949,15.403649,0,126203172,,9
r1cs-determinism/fb/Num2Bits@bitify@circomlib_16.r1cs,Timedout,,294.082509,6.120424,110,19789820,,9
r1cs-determinism/fb/Num2Bits@bitify@circomlib_253.r1cs,Timedout,,284.325049,15.520492,0,126552724,,9
r1cs-determinism/fb/Num2Bits@bitify@circomlib_254.r1cs,Timedout,,282.895152,15.97514,0,128446148,,9
r1cs-determinism/fb/Num2Bits@bitify@circomlib_256.r1cs,Timedout,,283.623099,15.917511,0,128411400,,9
r1cs-determinism/fb/Num2Bits@bitify@circomlib_32.r1cs,Timedout,,283.293078,16.345101,0,128182100,,9
r1cs-determinism/fb/Num2Bits@bitify@circomlib_64.r1cs,Timedout,,281.60483,16.515574,0,128339672,,9
r1cs-determinism/fb/Num2Bits@bitify@circomlib_8.r1cs,Timedout,,299.627176,0.296448,1718,1649216,,9
r1cs-determinism/fb/Num2BitsNeg@bitify@circomlib_1.r1cs,Success,,0.001439,0.0,17,5012,0,
