case_name,outcome,self_reported_time,user_time,system_time,max_progress,max_memory_kb,exit_status,exit_signal
maple-like/benchmark.maple:0,Success,6.187589484,6.185817,0.009999,736,110024,0,
maple-like/benchmark.maple:1,Success,9.310821244,9.29591,0.016666,6160,48124,0,
maple-like/benchmark.maple:2,Success,1.6319432109999998,1.6357460000000001,0.0,749,25260,0,
maple-like/benchmark.maple:3,Success,133.574164123,133.442403,0.119941,3865,734484,0,
maple-like/benchmark.maple:4,Timedout,,299.594213,0.326535,1312,2389312,,9
maple-like/benchmark.maple:5,Success,66.714441953,66.618644,0.143279,1877,1106584,0,
maple-like/benchmark.maple:6,Timedout,,299.549772,0.366538,3056,2015680,,9
maple-like/benchmark.maple:7,Success,0.782644772,0.787397,0.0,1406,40632,0,
maple-like/benchmark.maple:8,Success,0.068167274,0.070903,0.0,164,11960,0,
maple-like/benchmark.maple:9,Success,0.635678405,0.629689,0.009996,376,37280,0,
maple-like/benchmark.maple:10,Success,8.548959594,8.527656,0.03664,937,308508,0,
maple-like/benchmark.maple:11,Success,103.579802019,103.457568,0.209911,2140,2607024,0,
maple-like/benchmark.maple:12,Timedout,,298.983137,0.9563,3310,11119844,,9
maple-like/benchmark.maple:13,Timedout,,299.127485,0.79969,2370,10394044,,9
maple-like/benchmark.maple:14,Success,168.051422005,167.958032,0.026655,19174,59764,0,
maple-like/benchmark.maple:15,Success,2.473868401,2.491935,0.006662,3743,458156,0,
maple-like/benchmark.maple:16,Timedout,,299.617433,0.29655,1167,2360284,,9
maple-like/benchmark.maple:17,Timedout,,299.528276,0.383167,1042,4017248,,9
maple-like/benchmark.maple:18,Success,6.462300427,6.444424,0.029972,1625,199264,0,
maple-like/benchmark.maple:19,Timedout,,299.622142,0.243224,29550,645172,,9
r1cs-determinism/fb/AND@gates@circomlib.r1cs,Success,,0.000694,0.0,4,5280,0,
r1cs-determinism/fb/AliasCheck@aliascheck@circomlib.r1cs,Success,,0.0,0.002344,0,5024,0,
r1cs-determinism/fb/BabyAdd@babyjub@circomlib.r1cs,Success,,0.004379,0.0,113,5276,0,
r1cs-determinism/fb/BabyCheck@babyjub@circomlib.r1cs,Success,,0.000768,0.0,0,5024,0,
r1cs-determinism/fb/BabyDbl@babyjub@circomlib.r1cs,Success,,0.001851,0.0,57,5276,0,
r1cs-determinism/fb/BabyPbk@babyjub@circomlib.r1cs,Timedout,,296.318025,3.687881,12953,27943932,,9
r1cs-determinism/fb/BinSub@binsub@circomlib_16.r1cs,Timedout,,288.629233,11.882401,204,50561652,,9
r1cs-determinism/fb/BinSum@binsum@circomlib_32_2.r1cs,Timedout,,279.901754,16.710574,0,128352020,,9
r1cs-determinism/fb/BinSum@binsum@circomlib_32_5.r1cs,Timedout,,282.731351,16.164375,0,128367596,,9
r1cs-determinism/fb/BitElementMulAny@escalarmulany@circomlib.r1cs,Timedout,,297.266645,2.741835,5227,24626828,,9
r1cs-determinism/fb/Bits2Num@bitify@circomlib_1.r1cs,Success,,0.001376,0.0,3,5276,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_128.r1cs,Success,,0.0,0.001137,3,5276,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_16.r1cs,Success,,0.000871,0.0,3,5024,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_253.r1cs,Success,,0.001139,0.0,3,5020,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_254.r1cs,Success,,0.000998,0.0,3,5280,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_256.r1cs,Success,,0.001043,0.0,3,7080,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_32.r1cs,Success,,0.000949,0.0,3,5280,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_64.r1cs,Success,,0.0,0.000816,3,5276,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_8.r1cs,Success,,0.000862,0.0,3,5276,0,
r1cs-determinism/fb/Bits2Num_strict@bitify@circomlib.r1cs,Success,,0.366523,0.003316,1539,13744,0,
r1cs-determinism/fb/Bits2Point@pointbits@circomlib.r1cs,Success,,0.000903,0.0,2,5020,0,
r1cs-determinism/fb/Bits2Point_Strict@pointbits@circomlib.r1cs,Timedout,,297.083191,2.9550140000000003,3771,15248192,,9
r1cs-determinism/fb/EdDSAMiMCSpongeVerifier@eddsamimcsponge@circomlib.r1cs,Success,,0.007025,0.035256,0,15528,0,
r1cs-determinism/fb/EdDSAMiMCVerifier@eddsamimc@circomlib.r1cs,Success,,0.00335,0.033467,0,13476,0,
r1cs-determinism/fb/EdDSAPoseidonVerifier@eddsaposeidon@circomlib.r1cs,Success,,0.00357,0.032114,0,13480,0,
r1cs-determinism/fb/Edwards2Montgomery@montgomery@circomlib.r1cs,Success,,0.000987,0.0,12,5020,0,
r1cs-determinism/fb/ForceEqualIfEnabled@comparators@circomlib.r1cs,Success,,0.000856,0.0,0,5280,0,
