case_name,outcome,self_reported_time,user_time,system_time,max_progress,max_memory_kb,exit_status,exit_signal
maple-like/benchmark.maple:0,Success,6.63094874,6.625604,0.013331,736,144676,0,
maple-like/benchmark.maple:1,Success,9.209629206,9.178057,0.033313,6160,51820,0,
maple-like/benchmark.maple:2,Success,1.700262055,1.700246,0.003333,749,26072,0,
maple-like/benchmark.maple:3,Success,145.464548032,145.308864,0.156608,3865,872216,0,
maple-like/benchmark.maple:4,Timedout,,299.719966,0.176587,1266,1997680,,9
maple-like/benchmark.maple:5,Success,71.649404954,71.570078,0.129931,1877,1387348,0,
maple-like/benchmark.maple:6,Timedout,,299.608364,0.289855,2849,1792388,,9
maple-like/benchmark.maple:7,Success,0.795320558,0.800138,0.0,1406,42684,0,
maple-like/benchmark.maple:8,Success,0.073030258,0.076403,0.0,164,11704,0,
maple-like/benchmark.maple:9,Success,0.666722879,0.664494,0.006679,376,48508,0,
maple-like/benchmark.maple:10,Success,9.085911604,9.070543,0.033321,937,371752,0,
maple-like/benchmark.maple:11,Success,111.853831156,111.652022,0.313178,2140,2905304,0,
maple-like/benchmark.maple:12,Timedout,,299.099383,0.81629,3068,10317372,,9
maple-like/benchmark.maple:13,Timedout,,299.218793,0.689579,2196,9325748,,9
maple-like/benchmark.maple:14,Success,169.799954342,169.687677,0.039985,19174,67924,0,
maple-like/benchmark.maple:15,Success,2.526449659,2.517121,0.036625,3743,541784,0,
maple-like/benchmark.maple:16,Timedout,,299.700292,0.199919,1158,2053528,,9
maple-like/benchmark.maple:17,Timedout,,299.572655,0.336501,1027,3581724,,9
maple-like/benchmark.maple:18,Success,6.958704308,6.935737,0.036644,1625,253064,0,
maple-like/benchmark.maple:19,Timedout,,299.582055,0.283185,28398,665020,,9
r1cs-determinism/fb/AND@gates@circomlib.r1cs,Success,,0.000786,0.0,5,5276,0,
r1cs-determinism/fb/AliasCheck@aliascheck@circomlib.r1cs,Success,,0.0,0.002374,0,5020,0,
r1cs-determinism/fb/BabyAdd@babyjub@circomlib.r1cs,Success,,0.004515,0.0,113,7332,0,
r1cs-determinism/fb/BabyCheck@babyjub@circomlib.r1cs,Success,,0.000693,0.0,0,5020,0,
