case_name,outcome,self_reported_time,user_time,system_time,max_progress,max_memory_kb,exit_status,exit_signal
maple-like/benchmark.maple:0,Success,7.822808237,7.802821,0.029979,736,204024,0,
maple-like/benchmark.maple:1,Success,8.916656542,8.888731,0.029985,6160,46368,0,
maple-like/benchmark.maple:2,Success,2.760947031,2.75852,0.006664,749,48028,0,
maple-like/benchmark.maple:3,Timedout,,299.703279,0.189914,3765,1464700,,9
maple-like/benchmark.maple:4,Timedout,,299.673438,0.243223,1030,2822340,,9
maple-like/benchmark.maple:5,Success,78.262302928,78.169249,0.143187,1877,1541924,0,
maple-like/benchmark.maple:6,Timedout,,299.684644,0.169915,2932,1707420,,9
maple-like/benchmark.maple:7,Success,0.857161315,0.856752,0.006667,1406,72984,0,
maple-like/benchmark.maple:8,Success,0.092241757,0.095283,0.0,164,16052,0,
maple-like/benchmark.maple:9,Success,0.812372725,0.817043,0.0,376,58768,0,
maple-like/benchmark.maple:10,Success,12.275825035,12.206937,0.089913,937,674064,0,
maple-like/benchmark.maple:11,Success,152.372440316,152.135894,0.356248,2140,4494820,0,
maple-like/benchmark.maple:12,Timedout,,299.460348,0.443133,1746,4631652,,9
maple-like/benchmark.maple:13,Timedout,,299.368225,0.543102,1803,7325688,,9
maple-like/benchmark.maple:14,Success,165.211872236,165.10441,0.03332,19174,59792,0,
maple-like/benchmark.maple:15,Success,2.4267597739999998,2.417519,0.036602,3743,614232,0,
maple-like/benchmark.maple:16,Timedout,,299.68428,0.219909,1195,2280228,,9
maple-like/benchmark.maple:17,Timedout,,299.592501,0.316528,998,3411116,,9
maple-like/benchmark.maple:18,Success,6.837114425,6.840035,0.009989,1625,289744,0,
maple-like/benchmark.maple:19,Timedout,,299.589256,0.269884,32341,638956,,9
r1cs-determinism/fb/AND@gates@circomlib.r1cs,Success,,0.000752,0.0,4,5024,0,
r1cs-determinism/fb/AliasCheck@aliascheck@circomlib.r1cs,Success,,0.001742,0.0,0,5024,0,
r1cs-determinism/fb/BabyAdd@babyjub@circomlib.r1cs,Success,,0.004873,0.0,113,7332,0,
r1cs-determinism/fb/BabyCheck@babyjub@circomlib.r1cs,Success,,0.000913,0.0,0,5280,0,
r1cs-determinism/fb/BabyDbl@babyjub@circomlib.r1cs,Success,,0.001765,0.0,57,5280,0,
r1cs-determinism/fb/BabyPbk@babyjub@circomlib.r1cs,Timedout,,296.6673,3.358355,12954,29231240,,9
r1cs-determinism/fb/BinSub@binsub@circomlib_16.r1cs,Timedout,,291.288898,9.231665,204,51646020,,9
r1cs-determinism/fb/BinSum@binsum@circomlib_32_2.r1cs,Timedout,,282.290267,17.239526,0,126963764,,9
r1cs-determinism/fb/BinSum@binsum@circomlib_32_5.r1cs,Timedout,,279.436147,17.247141,0,128275320,,9
r1cs-determinism/fb/BitElementMulAny@escalarmulany@circomlib.r1cs,Timedout,,298.194066,1.795782,5240,21559468,,9
r1cs-determinism/fb/Bits2Num@bitify@circomlib_1.r1cs,Success,,0.001037,0.0,3,5280,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_128.r1cs,Success,,0.001038,0.0,3,5020,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_16.r1cs,Success,,0.000677,0.0,3,5276,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_253.r1cs,Success,,0.000762,0.0,3,5276,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_254.r1cs,Success,,0.0,0.001043,3,5020,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_256.r1cs,Success,,0.001178,0.0,3,5276,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_32.r1cs,Success,,0.000989,0.0,3,5276,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_64.r1cs,Success,,0.000724,0.0,3,5280,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_8.r1cs,Success,,0.000819,0.0,3,5280,0,
r1cs-determinism/fb/Bits2Num_strict@bitify@circomlib.r1cs,Success,,0.358325,0.003303,1539,13448,0,
r1cs-determinism/fb/Bits2Point@pointbits@circomlib.r1cs,Success,,0.000927,0.0,2,5020,0,
r1cs-determinism/fb/Bits2Point_Strict@pointbits@circomlib.r1cs,Timedout,,297.784022,2.272274,3766,17877980,,9
r1cs-determinism/fb/EdDSAMiMCSpongeVerifier@eddsamimcsponge@circomlib.r1cs,Success,,0.0,0.041741,0,15268,0,
r1cs-determinism/fb/EdDSAMiMCVerifier@eddsamimc@circomlib.r1cs,Success,,0.003264,0.032771,0,13220,0,
r1cs-determinism/fb/EdDSAPoseidonVerifier@eddsaposeidon@circomlib.r1cs,Success,,0.010648,0.024859,0,13224,0,
r1cs-determinism/fb/Edwards2Montgomery@montgomery@circomlib.r1cs,Success,,0.0,0.001076,12,5280,0,
r1cs-determinism/fb/ForceEqualIfEnabled@comparators@circomlib.r1cs,Success,,0.000885,0.0,0,5276,0,
r1cs-determinism/fb/GreaterEqThan@comparators@circomlib_16.r1cs,Timedout,,298.367805,1.645977,680,14211748,,9
r1cs-determinism/fb/GreaterEqThan@comparators@circomlib_32.r1cs,Timedout,,296.307621,3.838072,426,32570612,,9
r1cs-determinism/fb/GreaterEqThan@comparators@circomlib_8.r1cs,Timedout,,298.818897,1.142802,502,11472072,,9
r1cs-determinism/fb/GreaterThan@comparators@circomlib_16.r1cs,Timedout,,298.250385,1.75586,681,14171904,,9
r1cs-determinism/fb/GreaterThan@comparators@circomlib_32.r1cs,Timedout,,296.075516,4.07125,428,32795260,,9
r1cs-determinism/fb/GreaterThan@comparators@circomlib_8.r1cs,Timedout,,298.976644,0.982888,519,10478448,,9
r1cs-determinism/fb/IsEqual@comparators@circomlib.r1cs,Success,,0.0,0.001078,14,5020,0,
r1cs-determinism/fb/IsZero@comparators@circomlib.r1cs,Success,,0.000899,0.0,7,5280,0,
r1cs-determinism/fb/LessEqThan@comparators@circomlib_16.r1cs,Timedout,,298.336921,1.665836,680,14178088,,9
r1cs-determinism/fb/LessEqThan@comparators@circomlib_32.r1cs,Timedout,,296.498037,3.63477,423,32347508,,9
r1cs-determinism/fb/LessEqThan@comparators@circomlib_8.r1cs,Timedout,,298.914954,1.03953,501,11445504,,9
r1cs-determinism/fb/Montgomery2Edwards@montgomery@circomlib.r1cs,Success,,0.001164,0.0,13,5276,0,
r1cs-determinism/fb/MontgomeryAdd@montgomery@circomlib.r1cs,Success,,0.004544,0.0,74,7076,0,
r1cs-determinism/fb/MontgomeryDouble@montgomery@circomlib.r1cs,Success,,0.00263,0.00264,92,9384,0,
r1cs-determinism/fb/Multiplexor2@escalarmulany@circomlib.r1cs,Success,,0.00084,0.0,6,5276,0,
r1cs-determinism/fb/Mux1@mux1@circomlib.r1cs,Success,,0.0,0.000793,12,5276,0,
r1cs-determinism/fb/Mux2@mux2@circomlib.r1cs,Success,,0.000924,0.0,35,5020,0,
r1cs-determinism/fb/Mux3@mux3@circomlib.r1cs,Success,,0.002573,0.0,85,5280,0,
r1cs-determinism/fb/Mux4@mux4@circomlib.r1cs,Success,,4.860174,0.016655,3224,60060,0,
r1cs-determinism/fb/NAND@gates@circomlib.r1cs,Success,,0.000777,0.0,4,5276,0,
r1cs-determinism/fb/NOR@gates@circomlib.r1cs,Success,,0.000993,0.0,4,5280,0,
r1cs-determinism/fb/NOT@gates@circomlib.r1cs,Success,,0.0,0.000748,3,5280,0,
r1cs-determinism/fb/Num2Bits@bitify@circomlib_1.r1cs,Success,,0.000743,0.0,4,5280,0,
r1cs-determinism/fb/Num2Bits@bitify@circomlib_128.r1cs,Timedout,,277.822954,18.657378,0,128351372,,9
r1cs-determinism/fb/Num2Bits@bitify@circomlib_16.r1cs,Timedout,,295.087136,5.177652,534,41841836,,9
r1cs-determinism/fb/Num2Bits@bitify@circomlib_253.r1cs,Timedout,,276.592522,19.442975,0,128429068,,9
r1cs-determinism/fb/Num2Bits@bitify@circomlib_254.r1cs,Timedout,,282.051149,16.884211,0,128161724,,9
r1cs-determinism/fb/Num2Bits@bitify@circomlib_256.r1cs,Timedout,,282.618405,16.613158,0,127188944,,9
r1cs-determinism/fb/Num2Bits@bitify@circomlib_32.r1cs,Timedout,,282.314222,16.684273,0,127897736,,9
r1cs-determinism/fb/Num2Bits@bitify@circomlib_64.r1cs,Timedout,,282.869867,16.572022,0,127093280,,9
r1cs-determinism/fb/Num2Bits@bitify@circomlib_8.r1cs,Timedout,,299.142268,0.812988,654,7036068,,9
r1cs-determinism/fb/Num2BitsNeg@bitify@circomlib_1.r1cs,Success,,0.001196,0.0,17,5276,0,
r1cs-determinism/fb/Num2BitsNeg@bitify@circomlib_128.r1cs,Timedout,,282.285464,16.84308,0,127640044,,9
r1cs-determinism/fb/Num2BitsNeg@bitify@circomlib_16.r1cs,Timedout,,296.712352,3.421481,626,23308552,,9
r1cs-determinism/fb/Num2BitsNeg@bitify@circomlib_253.r1cs,Timedout,,278.456841,18.057797,0,128268240,,9
r1cs-determinism/fb/Num2BitsNeg@bitify@circomlib_254.r1cs,Timedout,,281.851184,17.428957,0,128292304,,9
r1cs-determinism/fb/Num2BitsNeg@bitify@circomlib_256.r1cs,Timedout,,282.042732,17.060312,0,127891512,,9
r1cs-determinism/fb/Num2BitsNeg@bitify@circomlib_32.r1cs,Timedout,,282.019128,17.343728,0,127815552,,9
r1cs-determinism/fb/Num2BitsNeg@bitify@circomlib_64.r1cs,Timedout,,278.790209,18.045269,0,128238300,,9
r1cs-determinism/fb/Num2BitsNeg@bitify@circomlib_8.r1cs,Timedout,,299.361595,0.569749,1278,5356384,,9
r1cs-determinism/fb/Num2Bits_strict@bitify@circomlib.r1cs,Timedout,,282.194246,17.022408,0,127659500,,9
r1cs-determinism/fb/OR@gates@circomlib.r1cs,Success,,0.00145,0.0,4,5276,0,
r1cs-determinism/fb/Pedersen@pedersen@circomlib_1.r1cs,Timedout,,298.792253,1.169459,7912,6824720,,9
r1cs-determinism/fb/Pedersen@pedersen@circomlib_128.r1cs,Timedout,,289.296732,10.654303,6639,30314356,,9
r1cs-determinism/fb/Pedersen@pedersen@circomlib_16.r1cs,Timedout,,298.366828,1.625948,3496,17702108,,9
r1cs-determinism/fb/Pedersen@pedersen@circomlib_253.r1cs,Timedout,,297.803165,2.108935,9473,4848852,,9
r1cs-determinism/fb/Pedersen@pedersen@circomlib_254.r1cs,Timedout,,297.626411,2.285533,9468,4848212,,9
r1cs-determinism/fb/Pedersen@pedersen@circomlib_256.r1cs,Timedout,,297.680004,2.225585,9468,4848568,,9
r1cs-determinism/fb/Pedersen@pedersen@circomlib_32.r1cs,Timedout,,297.036756,3.035274,2775,32020852,,9
r1cs-determinism/fb/Pedersen@pedersen@circomlib_64.r1cs,Timedout,,294.53274,5.573703,4035,55445284,,9
r1cs-determinism/fb/Pedersen@pedersen@circomlib_8.r1cs,Timedout,,299.488349,0.386479,5589,1100964,,9
r1cs-determinism/fb/Pedersen@pedersen_old@circomlib_1.r1cs,Success,,0.01236,0.0,210,9452,0,
r1cs-determinism/fb/Pedersen@pedersen_old@circomlib_128.r1cs,Timedout,,297.042567,2.848474,5231,2619936,,9
r1cs-determinism/fb/Pedersen@pedersen_old@circomlib_16.r1cs,Timedout,,299.704779,0.179912,3445,1032176,,9
r1cs-determinism/fb/Pedersen@pedersen_old@circomlib_253.r1cs,Timedout,,294.923249,4.983922,8025,7401072,,9
r1cs-determinism/fb/Pedersen@pedersen_old@circomlib_254.r1cs,Timedout,,295.569928,4.341045,8027,7413380,,9
r1cs-determinism/fb/Pedersen@pedersen_old@circomlib_256.r1cs,Timedout,,295.402092,4.507672,8116,7648464,,9
r1cs-determinism/fb/Pedersen@pedersen_old@circomlib_32.r1cs,Timedout,,299.458547,0.436463,3242,2686092,,9
r1cs-determinism/fb/Pedersen@pedersen_old@circomlib_64.r1cs,Timedout,,299.183203,0.696249,2853,792728,,9
r1cs-determinism/fb/Pedersen@pedersen_old@circomlib_8.r1cs,Success,,0.477965,0.0,754,25972,0,
r1cs-determinism/fb/Point2Bits@pointbits@circomlib.r1cs,Timedout,,281.611925,17.089464,0,127950292,,9
r1cs-determinism/fb/Point2Bits_Strict@pointbits@circomlib.r1cs,Timedout,,281.582907,17.001444,0,128148780,,9
r1cs-determinism/fb/SMTHash1@smthash_mimc@circomlib.r1cs,Timedout,,299.535187,0.366512,22121,4849628,,9
r1cs-determinism/fb/SMTHash1@smthash_poseidon@circomlib.r1cs,Timedout,,299.52149,0.379838,7238,2545132,,9
r1cs-determinism/fb/SMTHash2@smthash_mimc@circomlib.r1cs,Timedout,,299.660576,0.233201,22494,3073004,,9
