case_name,outcome,self_reported_time,user_time,system_time,max_progress,max_memory_kb,exit_status,exit_signal
maple-like/benchmark.maple:0,Success,6.463833856,6.464993,0.006662,736,149504,0,
maple-like/benchmark.maple:1,Success,8.858345372,8.848062,0.013326,6160,46420,0,
maple-like/benchmark.maple:2,Success,1.681623612,1.685495,0.0,749,33752,0,
maple-like/benchmark.maple:3,Success,134.863951291,134.754896,0.113217,3865,1037220,0,
maple-like/benchmark.maple:4,Timedout,,299.743879,0.153273,1278,1901060,,9
maple-like/benchmark.maple:5,Success,66.836620751,66.741771,0.143224,1877,1444548,0,
maple-like/benchmark.maple:6,Timedout,,299.727689,0.166599,2976,1669900,,9
maple-like/benchmark.maple:7,Success,0.761771659,0.76443,0.003337,1406,50560,0,
maple-like/benchmark.maple:8,Success,0.075576236,0.075276,0.003275,164,14004,0,
maple-like/benchmark.maple:9,Success,0.684140586,0.685204,0.003326,376,50740,0,
maple-like/benchmark.maple:10,Success,9.240638739,9.22778,0.029973,937,481092,0,
maple-like/benchmark.maple:11,Success,113.308054253,113.084637,0.32966,2140,3637956,0,
maple-like/benchmark.maple:12,Timedout,,299.218147,0.706396,2982,9797424,,9
maple-like/benchmark.maple:13,Timedout,,299.222802,0.696365,2193,9691408,,9
maple-like/benchmark.maple:14,Success,157.418735875,157.280543,0.076634,19174,59780,0,
maple-like/benchmark.maple:15,Success,2.318890717,2.295512,0.049943,3743,608696,0,
maple-like/benchmark.maple:16,Timedout,,299.703909,0.206591,1167,2069624,,9
maple-like/benchmark.maple:17,Timedout,,299.564411,0.349842,1027,3398432,,9
maple-like/benchmark.maple:18,Success,6.472519797,6.46229,0.02331,1625,270944,0,
maple-like/benchmark.maple:19,Timedout,,299.51972,0.336531,32371,649332,,9
r1cs-determinism/fb/AND@gates@circomlib.r1cs,Success,,0.0,0.000749,4,5020,0,
r1cs-determinism/fb/AliasCheck@aliascheck@circomlib.r1cs,Success,,0.002128,0.0,0,5020,0,
r1cs-determinism/fb/BabyAdd@babyjub@circomlib.r1cs,Success,,0.002244,0.002251,113,5280,0,
r1cs-determinism/fb/BabyCheck@babyjub@circomlib.r1cs,Success,,0.000839,0.0,0,5020,0,
r1cs-determinism/fb/BabyDbl@babyjub@circomlib.r1cs,Success,,0.001997,0.0,57,5276,0,
r1cs-determinism/fb/BabyPbk@babyjub@circomlib.r1cs,Timedout,,296.890915,3.128515,12958,28640176,,9
r1cs-determinism/fb/BinSub@binsub@circomlib_16.r1cs,Timedout,,291.222178,9.325349,202,51877364,,9
r1cs-determinism/fb/BinSum@binsum@circomlib_32_2.r1cs,Timedout,,283.047788,16.021331,0,126981420,,9
r1cs-determinism/fb/BinSum@binsum@circomlib_32_5.r1cs,Timedout,,281.727003,17.17729,0,127878400,,9
r1cs-determinism/fb/BitElementMulAny@escalarmulany@circomlib.r1cs,Timedout,,298.072949,1.929087,5227,23493284,,9
r1cs-determinism/fb/Bits2Num@bitify@circomlib_1.r1cs,Success,,0.001136,0.0,3,5280,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_128.r1cs,Success,,0.001346,0.0,3,5280,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_16.r1cs,Success,,0.0,0.00086,3,5276,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_253.r1cs,Success,,0.001116,0.0,3,5276,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_254.r1cs,Success,,0.001188,0.0,3,5276,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_256.r1cs,Success,,0.001256,0.0,3,5276,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_32.r1cs,Success,,0.000868,0.0,3,5020,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_64.r1cs,Success,,0.000831,0.0,3,5280,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_8.r1cs,Success,,0.000972,0.0,3,5280,0,
r1cs-determinism/fb/Bits2Num_strict@bitify@circomlib.r1cs,Success,,0.368947,0.003306,1539,13704,0,
