case_name,outcome,self_reported_time,user_time,system_time,max_progress,max_memory_kb,exit_status,exit_signal
maple-like/benchmark.maple:0,Success,6.415369915,6.403137,0.02,736,149464,0,
maple-like/benchmark.maple:1,Success,8.988067149,8.966844,0.023325,6160,46412,0,
maple-like/benchmark.maple:2,Success,1.676721837,1.6798959999999998,0.0,749,33752,0,
maple-like/benchmark.maple:3,Success,135.383553387,135.264436,0.123224,3865,1037228,0,
maple-like/benchmark.maple:4,Timedout,,299.639332,0.239873,1284,1929564,,9
maple-like/benchmark.maple:5,Success,65.105456363,64.980256,0.173207,1877,1444224,0,
maple-like/benchmark.maple:6,Timedout,,299.74409,0.156603,2976,1669072,,9
maple-like/benchmark.maple:7,Success,0.756074727,0.757653,0.003337,1406,50560,0,
maple-like/benchmark.maple:8,Success,0.074206208,0.073785,0.003354,164,14000,0,
maple-like/benchmark.maple:9,Success,0.674229421,0.669316,0.009988,376,50752,0,
maple-like/benchmark.maple:10,Success,9.184755697,9.162185,0.039972,937,481392,0,
maple-like/benchmark.maple:11,Success,111.611573279,111.390889,0.326301,2140,3637808,0,
maple-like/benchmark.maple:12,Timedout,,299.199677,0.71635,2642,9577208,,9
maple-like/benchmark.maple:13,Timedout,,299.196811,0.719654,2192,9660904,,9
maple-like/benchmark.maple:14,Success,165.503061725,165.402477,0.033311,19174,59504,0,
maple-like/benchmark.maple:15,Success,2.336888471,2.330409,0.033264,3743,608696,0,
maple-like/benchmark.maple:16,Timedout,,299.664741,0.239898,1167,2069328,,9
maple-like/benchmark.maple:17,Timedout,,299.590055,0.323175,1027,3398112,,9
maple-like/benchmark.maple:18,Success,6.538030557,6.51828,0.033317,1625,270952,0,
maple-like/benchmark.maple:19,Timedout,,299.601302,0.266553,32431,655408,,9
r1cs-determinism/fb/AND@gates@circomlib.r1cs,Success,,0.000751,0.0,4,5280,0,
r1cs-determinism/fb/AliasCheck@aliascheck@circomlib.r1cs,Success,,0.001751,0.0,0,5024,0,
r1cs-determinism/fb/BabyAdd@babyjub@circomlib.r1cs,Success,,0.004426,0.0,113,5276,0,
r1cs-determinism/fb/BabyCheck@babyjub@circomlib.r1cs,Success,,0.000764,0.0,0,5020,0,
r1cs-determinism/fb/BabyDbl@babyjub@circomlib.r1cs,Success,,0.001763,0.0,57,5280,0,
