case_name,outcome,self_reported_time,user_time,system_time,max_progress,max_memory_kb,exit_status,exit_signal
maple-like/benchmark.maple:0,Success,23.190359519,23.181004,0.006662,736,40092,0,
maple-like/benchmark.maple:1,Success,10.167200099,10.154321,0.013326,6160,43196,0,
maple-like/benchmark.maple:2,Success,1.8188686870000002,1.817498,0.00333,749,23508,0,
maple-like/benchmark.maple:3,Success,286.546372368,286.343221,0.116621,3865,363468,0,
maple-like/benchmark.maple:4,Timedout,,299.74256,0.139948,637,490300,,9
maple-like/benchmark.maple:5,Success,254.297430622,254.143788,0.059978,1877,174008,0,
maple-like/benchmark.maple:6,Timedout,,299.777227,0.116626,1812,462168,,9
maple-like/benchmark.maple:7,Success,2.375436545,2.368719,0.013325,1406,72524,0,
maple-like/benchmark.maple:8,Success,0.11129205,0.114293,0.0,164,9384,0,
maple-like/benchmark.maple:9,Success,1.535165108,1.53818,0.0,376,21032,0,
maple-like/benchmark.maple:10,Success,30.716355849,30.692794,0.019993,937,103736,0,
maple-like/benchmark.maple:11,Timedout,,299.79909,0.086624,662,285728,,9
maple-like/benchmark.maple:12,Timedout,,299.789781,0.103296,550,460332,,9
maple-like/benchmark.maple:13,Timedout,,299.801649,0.076642,258,265456,,9
maple-like/benchmark.maple:14,Success,162.363477855,162.26047,0.036648,19174,59728,0,
maple-like/benchmark.maple:15,Success,13.516051177,13.496115,0.036657,3743,313488,0,
maple-like/benchmark.maple:16,Timedout,,299.708874,0.189926,1004,745940,,9
maple-like/benchmark.maple:17,Timedout,,299.593598,0.306533,625,1302540,,9
maple-like/benchmark.maple:18,Success,3.037483678,3.034659,0.00667,1625,29224,0,
maple-like/benchmark.maple:19,Timedout,,299.586043,0.256551,31926,665172,,9
r1cs-determinism/fb/AND@gates@circomlib.r1cs,Success,,0.00116,0.000291,4,4760,0,
r1cs-determinism/fb/AliasCheck@aliascheck@circomlib.r1cs,Success,,0.001593,0.0,0,4756,0,
r1cs-determinism/fb/BabyAdd@babyjub@circomlib.r1cs,Success,,0.008719,0.0,200,5016,0,
r1cs-determinism/fb/BabyCheck@babyjub@circomlib.r1cs,Success,,0.000822,0.0,0,4756,0,
r1cs-determinism/fb/BabyDbl@babyjub@circomlib.r1cs,Success,,0.00496,0.0,147,5012,0,
r1cs-determinism/fb/BabyPbk@babyjub@circomlib.r1cs,Timedout,,0.00987,0.016447,25678,15268,,9
r1cs-determinism/fb/BinSub@binsub@circomlib_16.r1cs,Unknown,,3209.720179,1312.809664,1312,8304820,101,
r1cs-determinism/fb/BinSum@binsum@circomlib_32_2.r1cs,Unknown,,3647.69505,226.32945,1391,8246188,101,
r1cs-determinism/fb/BinSum@binsum@circomlib_32_5.r1cs,Timedout,,0.0,0.013124,1509,5012,,9
r1cs-determinism/fb/BitElementMulAny@escalarmulany@circomlib.r1cs,Timedout,,0.001299,0.001327,3769,4756,,9
r1cs-determinism/fb/Bits2Num@bitify@circomlib_1.r1cs,Success,,0.001808,0.0,3,4756,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_128.r1cs,Success,,0.000397,0.001195,3,4756,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_16.r1cs,Success,,0.001151,0.0,3,4756,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_253.r1cs,Success,,0.000469,0.001108,3,5016,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_254.r1cs,Success,,0.00139,0.0,3,4760,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_256.r1cs,Success,,0.000567,0.001009,3,5888,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_32.r1cs,Success,,0.001355,0.0,3,4760,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_64.r1cs,Success,,0.000266,0.001009,3,4756,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_8.r1cs,Success,,0.001179,0.0,3,5016,0,
r1cs-determinism/fb/Bits2Num_strict@bitify@circomlib.r1cs,Success,,0.423846,0.006936,1539,11380,0,
r1cs-determinism/fb/Bits2Point@pointbits@circomlib.r1cs,Success,,0.001477,0.0,4,4756,0,
r1cs-determinism/fb/Bits2Point_Strict@pointbits@circomlib.r1cs,Timedout,,1.906405,0.010222,6698,18456,,9
r1cs-determinism/fb/EdDSAMiMCSpongeVerifier@eddsamimcsponge@circomlib.r1cs,Success,,0.003417,0.037605,0,15008,0,
r1cs-determinism/fb/EdDSAMiMCVerifier@eddsamimc@circomlib.r1cs,Success,,0.0,0.036714,0,12960,0,
r1cs-determinism/fb/EdDSAPoseidonVerifier@eddsaposeidon@circomlib.r1cs,Success,,0.006393,0.028884,0,12956,0,
r1cs-determinism/fb/Edwards2Montgomery@montgomery@circomlib.r1cs,Success,,0.000388,0.001503,18,4760,0,
r1cs-determinism/fb/ForceEqualIfEnabled@comparators@circomlib.r1cs,Success,,0.000927,0.0,0,4756,0,
r1cs-determinism/fb/GreaterEqThan@comparators@circomlib_16.r1cs,Timedout,,0.001072,0.0,955,4760,,9
r1cs-determinism/fb/GreaterEqThan@comparators@circomlib_32.r1cs,Timedout,,0.001311,0.0,147,5016,,9
r1cs-determinism/fb/GreaterEqThan@comparators@circomlib_8.r1cs,Timedout,,0.001158,0.0,878,4756,,9
r1cs-determinism/fb/GreaterThan@comparators@circomlib_16.r1cs,Timedout,,0.001287,0.0,973,4756,,9
