case_name,outcome,self_reported_time,user_time,system_time,max_progress,max_memory_kb,exit_status,exit_signal
maple-like/benchmark.maple:0,Success,6.364645252,6.358508,0.013329,736,110280,0,
maple-like/benchmark.maple:1,Success,9.467353951,9.452016,0.016657,6160,47960,0,
maple-like/benchmark.maple:2,Success,1.640897721,1.6417030000000001,0.003336,749,25260,0,
maple-like/benchmark.maple:3,Success,141.74899016,141.61291,0.136608,3865,734868,0,
maple-like/benchmark.maple:4,Timedout,,299.648505,0.266554,1295,2307300,,9
maple-like/benchmark.maple:5,Success,67.492117773,67.37586,0.15993,1877,1106696,0,
maple-like/benchmark.maple:6,Timedout,,299.60981,0.273194,3035,2003284,,9
maple-like/benchmark.maple:7,Success,0.773068156,0.770551,0.006643,1406,40632,0,
maple-like/benchmark.maple:8,Success,0.070777173,0.071075,0.003385,164,11700,0,
maple-like/benchmark.maple:9,Success,0.621371403,0.615447,0.009981,376,38316,0,
maple-like/benchmark.maple:10,Success,8.691731858,8.690215,0.016659,937,307864,0,
maple-like/benchmark.maple:11,Success,106.99187873,106.830213,0.246559,2140,2607132,0,
maple-like/benchmark.maple:12,Timedout,,299.0936,0.846288,3309,11118184,,9
maple-like/benchmark.maple:13,Timedout,,299.094261,0.839684,2382,10533164,,9
maple-like/benchmark.maple:14,Success,166.595307199,166.501969,0.029989,19174,59684,0,
maple-like/benchmark.maple:15,Success,2.522282526,2.50367,0.04328,3743,458408,0,
maple-like/benchmark.maple:16,Timedout,,299.571014,0.339858,1169,2370140,,9
maple-like/benchmark.maple:17,Timedout,,299.490698,0.436487,1068,4244516,,9
maple-like/benchmark.maple:18,Success,6.6069349840000005,6.606227,0.013324,1625,199140,0,
maple-like/benchmark.maple:19,Timedout,,299.615043,0.243226,28557,643636,,9
r1cs-determinism/fb/AND@gates@circomlib.r1cs,Success,,0.000321,0.001403,4,5280,0,
r1cs-determinism/fb/AliasCheck@aliascheck@circomlib.r1cs,Success,,0.00184,0.0,0,5280,0,
r1cs-determinism/fb/BabyAdd@babyjub@circomlib.r1cs,Success,,0.007898,0.0,226,5280,0,
r1cs-determinism/fb/BabyCheck@babyjub@circomlib.r1cs,Success,,0.000869,0.0,0,5028,0,
r1cs-determinism/fb/BabyDbl@babyjub@circomlib.r1cs,Success,,0.004103,0.001204,150,5280,0,
r1cs-determinism/fb/BabyPbk@babyjub@circomlib.r1cs,Timedout,,0.009664,0.016122,25908,15532,,9
r1cs-determinism/fb/BinSub@binsub@circomlib_16.r1cs,Unknown,,1230.824096,127.711035,1971,9155804,101,
r1cs-determinism/fb/BinSum@binsum@circomlib_32_2.r1cs,Unknown,,1543.449736,83.8806,5051,8855580,101,
r1cs-determinism/fb/BinSum@binsum@circomlib_32_5.r1cs,Unknown,,1686.188899,86.018527,5101,8747676,101,
r1cs-determinism/fb/BitElementMulAny@escalarmulany@circomlib.r1cs,Timedout,,0.002077,0.0,28066,5280,,9
r1cs-determinism/fb/Bits2Num@bitify@circomlib_1.r1cs,Success,,0.000364,0.00149,3,5280,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_128.r1cs,Success,,0.001394,0.000415,3,5280,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_16.r1cs,Success,,0.001333,0.0,3,5284,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_253.r1cs,Success,,0.001449,0.000419,3,5284,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_254.r1cs,Success,,0.001388,0.0,3,5284,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_256.r1cs,Success,,0.001006,0.000421,3,5284,0,
