case_name,outcome,self_reported_time,user_time,system_time,max_progress,max_memory_kb,exit_status,exit_signal
maple-like/benchmark.maple:0,Success,6.414379699,6.393459,0.029983,736,108196,0,
maple-like/benchmark.maple:1,Success,9.399173755,9.396654,0.003331,6160,49252,0,
maple-like/benchmark.maple:2,Success,1.685342509,1.68139,0.00666,749,26844,0,
maple-like/benchmark.maple:3,Success,134.671672071,134.517681,0.156603,3865,719396,0,
maple-like/benchmark.maple:4,Timedout,,299.688242,0.213246,1287,2275412,,9
maple-like/benchmark.maple:5,Success,67.82014371,67.721668,0.143267,1877,1109560,0,
maple-like/benchmark.maple:6,Timedout,,299.655391,0.246556,2975,1964364,,9
maple-like/benchmark.maple:7,Success,0.786957826,0.787332,0.003322,1406,41428,0,
maple-like/benchmark.maple:8,Success,0.071774038,0.074574,0.0,164,12756,0,
maple-like/benchmark.maple:9,Success,0.651453125,0.655145,0.0,376,39128,0,
maple-like/benchmark.maple:10,Success,8.639743734,8.61525,0.039964,937,307016,0,
maple-like/benchmark.maple:11,Success,107.307308311,107.142792,0.249888,2140,2604684,0,
maple-like/benchmark.maple:12,Timedout,,299.100106,0.82963,3185,10777844,,9
maple-like/benchmark.maple:13,Timedout,,299.117371,0.803006,2335,9998816,,9
maple-like/benchmark.maple:14,Success,178.176323405,178.076632,0.033319,19174,60644,0,
maple-like/benchmark.maple:15,Success,2.576367958,2.564467,0.036638,3743,458600,0,
maple-like/benchmark.maple:16,Timedout,,299.64076,0.259884,1167,2366440,,9
maple-like/benchmark.maple:17,Timedout,,299.601745,0.309871,1037,3969192,,9
maple-like/benchmark.maple:18,Success,6.702724309,6.689002,0.026639,1625,198244,0,
maple-like/benchmark.maple:19,Timedout,,299.685438,0.189918,28600,646632,,9
r1cs-determinism/fb/AND@gates@circomlib.r1cs,Success,,0.000725,0.0,4,5292,0,
r1cs-determinism/fb/AliasCheck@aliascheck@circomlib.r1cs,Success,,0.002547,0.0,0,7344,0,
r1cs-determinism/fb/BabyAdd@babyjub@circomlib.r1cs,Success,,0.004442,0.0,113,5292,0,
r1cs-determinism/fb/BabyCheck@babyjub@circomlib.r1cs,Success,,0.0,0.000789,0,5288,0,
r1cs-determinism/fb/BabyDbl@babyjub@circomlib.r1cs,Success,,0.001988,0.0,57,5288,0,
r1cs-determinism/fb/BabyPbk@babyjub@circomlib.r1cs,Timedout,,296.319963,3.698049,12953,27972160,,9
r1cs-determinism/fb/BinSub@binsub@circomlib_16.r1cs,Timedout,,287.099057,12.917109,203,50870320,,9
r1cs-determinism/fb/BinSum@binsum@circomlib_32_2.r1cs,Timedout,,279.630888,19.280548,0,129299548,,9
r1cs-determinism/fb/BinSum@binsum@circomlib_32_5.r1cs,Timedout,,279.667381,19.448414,0,127037052,,9
r1cs-determinism/fb/BitElementMulAny@escalarmulany@circomlib.r1cs,Timedout,,297.589428,2.438787,5227,24588176,,9
r1cs-determinism/fb/Bits2Num@bitify@circomlib_1.r1cs,Success,,0.000949,0.0,3,5288,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_128.r1cs,Success,,0.0,0.001123,3,5292,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_16.r1cs,Success,,0.000942,0.0,3,5292,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_253.r1cs,Success,,0.0,0.001102,3,5288,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_254.r1cs,Success,,0.000985,0.0,3,5288,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_256.r1cs,Success,,0.001427,0.0,3,7344,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_32.r1cs,Success,,0.000974,0.0,3,5292,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_64.r1cs,Success,,0.000821,0.0,3,5292,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_8.r1cs,Success,,0.000587,0.0,3,5292,0,
r1cs-determinism/fb/Bits2Num_strict@bitify@circomlib.r1cs,Success,,0.353136,0.0,1539,13728,0,
r1cs-determinism/fb/Bits2Point@pointbits@circomlib.r1cs,Success,,0.0,0.000853,2,5292,0,
r1cs-determinism/fb/Bits2Point_Strict@pointbits@circomlib.r1cs,Timedout,,297.530173,2.525391,3772,15538744,,9
r1cs-determinism/fb/EdDSAMiMCSpongeVerifier@eddsamimcsponge@circomlib.r1cs,Success,,0.00978,0.032609,0,15540,0,
r1cs-determinism/fb/EdDSAMiMCVerifier@eddsamimc@circomlib.r1cs,Success,,0.003358,0.033536,0,13492,0,
