case_name,outcome,self_reported_time,user_time,system_time,max_progress,max_memory_kb,exit_status,exit_signal
maple-like/benchmark.maple:0,Success,24.994240128,24.98941,0.016,737,36452,0,
maple-like/benchmark.maple:1,Success,5.894160254,5.895961,0.003999,2163,17632,0,
maple-like/benchmark.maple:2,Success,3.026637207,3.024676,0.008001,748,18592,0,
maple-like/benchmark.maple:3,Timedout,,299.885186,0.103992,1600,192752,,9
maple-like/benchmark.maple:4,Timedout,,299.857098,0.139993,527,285084,,9
maple-like/benchmark.maple:5,Timedout,,299.901168,0.083993,1726,123632,,9
maple-like/benchmark.maple:6,Timedout,,299.861839,0.135993,1369,331668,,9
maple-like/benchmark.maple:7,Success,5.251232562,5.238748,0.023994,1405,62320,0,
maple-like/benchmark.maple:8,Success,0.124850212,0.13322,0.0,134,7856,0,
maple-like/benchmark.maple:9,Success,1.28146289,1.282636,0.003995,305,12092,0,
maple-like/benchmark.maple:10,Success,17.182293741,17.16781,0.023999,638,49692,0,
maple-like/benchmark.maple:11,Success,179.020874241,178.960728,0.075995,1386,199700,0,
maple-like/benchmark.maple:12,Timedout,,299.897607,0.091993,456,217308,,9
maple-like/benchmark.maple:13,Timedout,,299.845563,0.147992,293,176392,,9
maple-like/benchmark.maple:14,Timedout,,299.923064,0.063996,10554,42424,,9
maple-like/benchmark.maple:15,Success,55.276265664,55.204594,0.104001,3742,255492,0,
maple-like/benchmark.maple:16,Timedout,,299.82292,0.175987,893,456288,,9
maple-like/benchmark.maple:17,Timedout,,299.676505,0.339977,537,765060,,9
maple-like/benchmark.maple:18,Success,34.240855297,34.201672,0.047996,2027,60648,0,
maple-like/benchmark.maple:19,Timedout,,299.834454,0.155992,5888,122400,,9
zokrates-bin/u8_different_from_zero.zok_bin,Success,0.419345204,0.417599,0.003977,251,10244,0,
