case_name,outcome,self_reported_time,user_time,system_time,max_progress,max_memory_kb,exit_status,exit_signal
maple-like/benchmark.maple:0,Success,43.468209159,43.464896,0.019996,735,36460,0,
maple-like/benchmark.maple:1,Success,88.871509876,88.848261,0.027998,6159,39892,0,
maple-like/benchmark.maple:2,Success,3.5505074690000002,3.540955,0.016004,748,18628,0,
maple-like/benchmark.maple:3,Timedout,,299.930057,0.063996,1564,187948,,9
maple-like/benchmark.maple:4,Timedout,,299.917329,0.079996,513,275916,,9
maple-like/benchmark.maple:5,Timedout,,299.911961,0.075994,1776,133840,,9
maple-like/benchmark.maple:6,Timedout,,299.894057,0.103993,1362,327280,,9
maple-like/benchmark.maple:7,Success,5.563496622,5.543677,0.031998,1405,62460,0,
maple-like/benchmark.maple:8,Success,0.184999839,0.185882,0.003954,163,7640,0,
maple-like/benchmark.maple:9,Success,2.268138045,2.274252,0.0,375,16688,0,
maple-like/benchmark.maple:10,Success,42.935639793,42.908317,0.039996,936,83520,0,
maple-like/benchmark.maple:11,Timedout,,299.84113,0.15199,615,190968,,9
maple-like/benchmark.maple:12,Timedout,,299.89371,0.099995,406,200912,,9
maple-like/benchmark.maple:13,Timedout,,299.889039,0.103993,245,159580,,9
maple-like/benchmark.maple:14,Timedout,,299.961004,0.027998,8318,30216,,9
maple-like/benchmark.maple:15,Success,63.339761834,63.232684,0.139992,3742,255472,0,
maple-like/benchmark.maple:16,Timedout,,299.752194,0.243977,887,451112,,9
maple-like/benchmark.maple:17,Timedout,,299.685339,0.327979,516,729840,,9
maple-like/benchmark.maple:18,Success,7.088748748,7.079912,0.015999,1624,25344,0,
maple-like/benchmark.maple:19,Timedout,,299.91975,0.071996,5598,119720,,9
zokrates-bin/u8_different_from_zero.zok_bin,Success,0.379525376,0.373477,0.007946,250,10012,0,
