case_name,outcome,self_reported_time,user_time,system_time,max_progress,max_memory_kb,exit_status,exit_signal
maple-like/benchmark.maple:0,Success,44.467413545,44.45877,0.015999,735,36376,0,
maple-like/benchmark.maple:1,Success,70.673962287,70.647088,0.031997,6159,38140,0,
maple-like/benchmark.maple:2,Success,3.415665611,3.418049,0.003997,748,18552,0,
maple-like/benchmark.maple:3,Timedout,,299.904835,0.087995,1570,189252,,9
maple-like/benchmark.maple:4,Timedout,,299.810731,0.183986,504,269376,,9
maple-like/benchmark.maple:5,Timedout,,299.884562,0.103993,1767,131788,,9
maple-like/benchmark.maple:6,Timedout,,299.829845,0.167989,1363,326444,,9
maple-like/benchmark.maple:7,Success,4.8866535330000005,4.854798,0.043989,1405,62408,0,
maple-like/benchmark.maple:8,Success,0.198169286,0.199106,0.003982,163,7652,0,
maple-like/benchmark.maple:9,Success,2.262751001,2.264812,0.004001,375,16460,0,
maple-like/benchmark.maple:10,Success,44.964823568,44.953009,0.023998,936,83424,0,
maple-like/benchmark.maple:11,Timedout,,299.908145,0.083994,615,190492,,9
maple-like/benchmark.maple:12,Timedout,,299.915463,0.079995,412,205656,,9
maple-like/benchmark.maple:13,Timedout,,299.90976,0.079995,244,157252,,9
maple-like/benchmark.maple:14,Timedout,,299.95767,0.027998,10403,27660,,9
maple-like/benchmark.maple:15,Success,57.618652451,57.567968,0.083994,3742,255892,0,
maple-like/benchmark.maple:16,Timedout,,299.83779,0.167989,895,459000,,9
maple-like/benchmark.maple:17,Timedout,,299.694668,0.323981,537,765348,,9
maple-like/benchmark.maple:18,Success,6.273630135,6.276735,0.004,1624,25124,0,
maple-like/benchmark.maple:19,Timedout,,299.926036,0.055995,6017,58296,,9
zokrates-bin/u8_different_from_zero.zok_bin,Success,0.363381823,0.365552,0.0,250,10024,0,
