case_name,outcome,self_reported_time,user_time,system_time,max_progress,max_memory_kb,exit_status,exit_signal
maple-like/benchmark.maple:0,Success,44.485789474,44.464044,0.028,736,36452,0,
maple-like/benchmark.maple:1,Success,71.465787846,71.435041,0.035997,6160,38112,0,
maple-like/benchmark.maple:2,Success,3.2182384219999998,3.224513,0.0,749,18528,0,
maple-like/benchmark.maple:3,Timedout,,299.890447,0.103993,1581,190800,,9
maple-like/benchmark.maple:4,Timedout,,299.856616,0.139992,503,267992,,9
maple-like/benchmark.maple:5,Timedout,,299.917743,0.071995,1766,131472,,9
maple-like/benchmark.maple:6,Timedout,,299.822753,0.171987,1360,324068,,9
maple-like/benchmark.maple:7,Success,4.657305352,4.63355,0.036012,1406,62244,0,
maple-like/benchmark.maple:8,Success,0.180849432,0.181808,0.003952,164,7792,0,
maple-like/benchmark.maple:9,Success,2.216612924,2.222767,0.0,376,16508,0,
maple-like/benchmark.maple:10,Success,44.267772753,44.252373,0.028,937,83392,0,
maple-like/benchmark.maple:11,Timedout,,299.902165,0.091994,616,190852,,9
maple-like/benchmark.maple:12,Timedout,,299.906923,0.087994,412,204436,,9
maple-like/benchmark.maple:13,Timedout,,299.935185,0.055996,245,158436,,9
maple-like/benchmark.maple:14,Timedout,,299.966665,0.019999,10572,27600,,9
maple-like/benchmark.maple:15,Success,55.781404798,55.683526,0.131989,3743,255824,0,
maple-like/benchmark.maple:16,Timedout,,299.764748,0.239984,889,451816,,9
maple-like/benchmark.maple:17,Timedout,,299.588286,0.427977,511,721468,,9
maple-like/benchmark.maple:18,Success,6.095831087,6.099049,0.003999,1625,25136,0,
maple-like/benchmark.maple:19,Timedout,,299.811484,0.17599,6018,57932,,9
r1cs-determinism/fb/AND@gates@circomlib.r1cs,Success,,0.002111,0.0,4,3460,0,
r1cs-determinism/fb/AliasCheck@aliascheck@circomlib.r1cs,Success,,0.0,0.007678,0,3536,0,
r1cs-determinism/fb/BabyAdd@babyjub@circomlib.r1cs,Success,,0.004096,0.004096,113,3548,0,
r1cs-determinism/fb/BabyCheck@babyjub@circomlib.r1cs,Success,,0.0,0.001365,0,3556,0,
r1cs-determinism/fb/BabyDbl@babyjub@circomlib.r1cs,Success,,0.00285,0.0,57,3556,0,
r1cs-determinism/fb/BabyPbk@babyjub@circomlib.r1cs,Timedout,,299.640443,0.36798,12838,533164,,9
r1cs-determinism/fb/BinSub@binsub@circomlib_16.r1cs,Timedout,,289.293497,11.72325,74,20545760,,9
r1cs-determinism/fb/BinSum@binsum@circomlib_32_2.r1cs,Unknown,,99.154591,11.826877,0,31713112,,9
r1cs-determinism/fb/BinSum@binsum@circomlib_32_5.r1cs,Unknown,,96.845113,12.04965,0,31776712,,9
r1cs-determinism/fb/BitElementMulAny@escalarmulany@circomlib.r1cs,Timedout,,299.286384,0.755945,652,1354496,,9
r1cs-determinism/fb/Bits2Num@bitify@circomlib_1.r1cs,Success,,0.0,0.001467,3,3556,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_128.r1cs,Success,,0.001789,0.0,3,3556,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_16.r1cs,Success,,0.0,0.001252,3,3556,0,
