case_name,outcome,self_reported_time,user_time,system_time,max_progress,max_memory_kb,exit_status,exit_signal
maple-like/benchmark.maple:0,Success,42.527204629,42.502576,0.031998,736,37132,0,
maple-like/benchmark.maple:1,Success,62.068120005,62.049494,0.023997,6160,38496,0,
maple-like/benchmark.maple:2,Success,3.161845025,3.164267,0.004,749,18696,0,
maple-like/benchmark.maple:3,Timedout,,299.829214,0.159987,1554,186168,,9
maple-like/benchmark.maple:4,Timedout,,299.891847,0.09999,523,281868,,9
maple-like/benchmark.maple:5,Timedout,,299.923278,0.055995,1518,110872,,9
maple-like/benchmark.maple:6,Timedout,,299.891567,0.128001,1316,300140,,9
maple-like/benchmark.maple:7,Success,5.0519013,5.025306,0.039978,1406,62600,0,
maple-like/benchmark.maple:8,Success,0.173160469,0.178591,0.0,164,7824,0,
maple-like/benchmark.maple:9,Success,2.716726434,2.714968,0.007996,376,16852,0,
maple-like/benchmark.maple:10,Success,50.145171634,50.118094,0.039998,937,84792,0,
maple-like/benchmark.maple:11,Timedout,,299.895292,0.099997,625,196116,,9
maple-like/benchmark.maple:12,Timedout,,299.897245,0.091993,410,203140,,9
maple-like/benchmark.maple:13,Timedout,,299.895944,0.091992,245,157720,,9
maple-like/benchmark.maple:14,Timedout,,299.950777,0.031998,10248,26764,,9
maple-like/benchmark.maple:15,Success,22.484701245,22.409819,0.111989,3743,259176,0,
maple-like/benchmark.maple:16,Timedout,,299.820901,0.187988,900,465904,,9
maple-like/benchmark.maple:17,Timedout,,299.709217,0.311976,509,719428,,9
maple-like/benchmark.maple:18,Success,4.806917848,4.798902,0.015996,1625,25504,0,
maple-like/benchmark.maple:19,Timedout,,299.943411,0.047997,6018,59864,,9
r1cs-determinism/fb/AND@gates@circomlib.r1cs,Success,,0.0,0.001862,4,3520,0,
r1cs-determinism/fb/AliasCheck@aliascheck@circomlib.r1cs,Success,,0.004718,0.004718,0,3588,0,
r1cs-determinism/fb/BabyAdd@babyjub@circomlib.r1cs,Success,,0.008054,0.0,113,3616,0,
r1cs-determinism/fb/BabyCheck@babyjub@circomlib.r1cs,Success,,0.0,0.001224,0,3608,0,
r1cs-determinism/fb/BabyDbl@babyjub@circomlib.r1cs,Success,,0.002658,0.0,57,3608,0,
r1cs-determinism/fb/BabyPbk@babyjub@circomlib.r1cs,Timedout,,299.662853,0.34798,12838,391080,,9
r1cs-determinism/fb/BinSub@binsub@circomlib_16.r1cs,Timedout,,289.271481,11.755003,74,20453564,,9
r1cs-determinism/fb/BinSum@binsum@circomlib_32_2.r1cs,Unknown,,92.708929,11.648116,0,31618092,,9
r1cs-determinism/fb/BinSum@binsum@circomlib_32_5.r1cs,Unknown,,96.572615,12.28306,0,31719288,,9
r1cs-determinism/fb/BitElementMulAny@escalarmulany@circomlib.r1cs,Timedout,,299.152492,0.91194,655,1496536,,9
r1cs-determinism/fb/Bits2Num@bitify@circomlib_1.r1cs,Success,,0.000897,0.000897,3,3608,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_128.r1cs,Success,,0.002914,0.0,3,3608,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_16.r1cs,Success,,0.002169,0.0,3,3608,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_253.r1cs,Success,,0.0,0.003595,3,3608,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_254.r1cs,Success,,0.003552,0.0,3,3608,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_256.r1cs,Success,,0.003615,0.0,3,3608,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_32.r1cs,Success,,0.002277,0.0,3,3608,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_64.r1cs,Success,,0.0,0.002458,3,3608,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_8.r1cs,Success,,0.002084,0.0,3,3608,0,
r1cs-determinism/fb/Bits2Num_strict@bitify@circomlib.r1cs,Success,,0.421814,0.011938,1539,6384,0,
r1cs-determinism/fb/Bits2Point@pointbits@circomlib.r1cs,Success,,0.001568,0.0,2,3608,0,
r1cs-determinism/fb/Bits2Point_Strict@pointbits@circomlib.r1cs,Timedout,,299.579767,0.451969,3604,898260,,9
r1cs-determinism/fb/EdDSAMiMCSpongeVerifier@eddsamimcsponge@circomlib.r1cs,Success,,0.095119,0.110972,0,12124,0,
r1cs-determinism/fb/EdDSAMiMCVerifier@eddsamimc@circomlib.r1cs,Success,,0.085072,0.093175,0,11084,0,
r1cs-determinism/fb/EdDSAPoseidonVerifier@eddsaposeidon@circomlib.r1cs,Success,,0.10312,0.067425,0,10540,0,
r1cs-determinism/fb/Edwards2Montgomery@montgomery@circomlib.r1cs,Success,,0.001437,0.0,12,3608,0,
r1cs-determinism/fb/ForceEqualIfEnabled@comparators@circomlib.r1cs,Success,,0.001159,0.0,0,3608,0,
r1cs-determinism/fb/GreaterEqThan@comparators@circomlib_16.r1cs,Timedout,,297.979081,2.315868,734,6755644,,9
