case_name,outcome,self_reported_time,user_time,system_time,max_progress,max_memory_kb,exit_status,exit_signal
maple-like/benchmark.maple:0,Success,40.219740443,40.193916,0.031998,736,37088,0,
maple-like/benchmark.maple:1,Success,61.887410553,61.861645,0.031998,6160,38580,0,
maple-like/benchmark.maple:2,Success,2.976969894,2.967595,0.015997,749,18872,0,
maple-like/benchmark.maple:3,Timedout,,299.794317,0.19999,1569,188796,,9
maple-like/benchmark.maple:4,Timedout,,299.87643,0.123993,519,279480,,9
maple-like/benchmark.maple:5,Timedout,,299.801303,0.187988,1557,114596,,9
maple-like/benchmark.maple:6,Timedout,,299.877969,0.123992,1324,304972,,9
maple-like/benchmark.maple:7,Success,5.073770051,5.039293,0.047993,1406,62640,0,
maple-like/benchmark.maple:8,Success,0.16827783,0.169334,0.003938,164,7824,0,
maple-like/benchmark.maple:9,Success,2.636962851,2.635153,0.007997,376,16772,0,
maple-like/benchmark.maple:10,Success,47.916527714,47.896493,0.031997,937,84712,0,
maple-like/benchmark.maple:11,Timedout,,299.888648,0.107994,628,199004,,9
maple-like/benchmark.maple:12,Timedout,,299.893364,0.103993,432,221824,,9
maple-like/benchmark.maple:13,Timedout,,299.92691,0.067996,246,161808,,9
maple-like/benchmark.maple:14,Timedout,,299.947628,0.039998,10356,28360,,9
maple-like/benchmark.maple:15,Success,22.908740434,22.847751,0.099981,3743,259228,0,
maple-like/benchmark.maple:16,Timedout,,299.792856,0.219988,905,470856,,9
maple-like/benchmark.maple:17,Timedout,,299.668008,0.359971,546,787032,,9
maple-like/benchmark.maple:18,Success,5.139012386,5.135374,0.011998,1625,25564,0,
maple-like/benchmark.maple:19,Timedout,,299.904524,0.071994,6018,59800,,9
r1cs-determinism/fb/AND@gates@circomlib.r1cs,Success,,0.001722,0.0,4,3528,0,
r1cs-determinism/fb/AliasCheck@aliascheck@circomlib.r1cs,Success,,0.003909,0.003909,0,3604,0,
r1cs-determinism/fb/BabyAdd@babyjub@circomlib.r1cs,Success,,0.00976,0.0,113,3808,0,
r1cs-determinism/fb/BabyCheck@babyjub@circomlib.r1cs,Success,,0.0,0.001454,0,3624,0,
r1cs-determinism/fb/BabyDbl@babyjub@circomlib.r1cs,Success,,0.003071,0.0,57,3624,0,
r1cs-determinism/fb/BabyPbk@babyjub@circomlib.r1cs,Timedout,,299.705437,0.295973,12838,391188,,9
r1cs-determinism/fb/BinSub@binsub@circomlib_16.r1cs,Timedout,,289.144362,11.947353,74,20552844,,9
r1cs-determinism/fb/BinSum@binsum@circomlib_32_2.r1cs,Unknown,,96.698988,11.662913,0,31549536,,9
r1cs-determinism/fb/BinSum@binsum@circomlib_32_5.r1cs,Unknown,,96.533087,12.16612,0,31688664,,9
r1cs-determinism/fb/BitElementMulAny@escalarmulany@circomlib.r1cs,Timedout,,299.058055,0.995913,655,1496268,,9
r1cs-determinism/fb/Bits2Num@bitify@circomlib_1.r1cs,Success,,0.002914,0.0,3,3624,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_128.r1cs,Success,,0.0,0.002959,3,3624,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_16.r1cs,Success,,0.002094,0.0,3,3624,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_253.r1cs,Success,,0.0,0.002973,3,3628,0,
