case_name,outcome,self_reported_time,user_time,system_time,max_progress,max_memory_kb,exit_status,exit_signal
maple-like/benchmark.maple:0,Success,42.169332746,42.165171,0.012,736,36944,0,
maple-like/benchmark.maple:1,Success,57.364526014,57.346367,0.023997,6160,38232,0,
maple-like/benchmark.maple:2,Success,3.154904586,3.153515,0.008003,749,18764,0,
maple-like/benchmark.maple:3,Timedout,,299.879145,0.103989,1565,187800,,9
maple-like/benchmark.maple:4,Timedout,,299.883771,0.103991,523,281888,,9
maple-like/benchmark.maple:5,Timedout,,299.923718,0.063996,1587,118212,,9
maple-like/benchmark.maple:6,Timedout,,299.909764,0.087994,1324,304576,,9
maple-like/benchmark.maple:7,Success,4.782719671,4.767059,0.028017,1406,62544,0,
maple-like/benchmark.maple:8,Success,0.169786472,0.166711,0.007938,164,7904,0,
maple-like/benchmark.maple:9,Success,2.70867895,2.710772,0.003998,376,16704,0,
maple-like/benchmark.maple:10,Success,46.514476979,46.50738,0.019999,937,84716,0,
maple-like/benchmark.maple:11,Timedout,,299.924202,0.071996,631,202608,,9
maple-like/benchmark.maple:12,Timedout,,299.901412,0.091994,430,221152,,9
maple-like/benchmark.maple:13,Timedout,,299.916661,0.075995,246,161676,,9
maple-like/benchmark.maple:14,Timedout,,299.961934,0.023998,10583,27916,,9
maple-like/benchmark.maple:15,Success,22.559716462,22.454409,0.13999,3743,259300,0,
maple-like/benchmark.maple:16,Timedout,,299.837923,0.167989,905,470428,,9
maple-like/benchmark.maple:17,Timedout,,299.662636,0.359979,545,784656,,9
maple-like/benchmark.maple:18,Success,5.180188035,5.183919,0.003999,1625,25548,0,
maple-like/benchmark.maple:19,Timedout,,299.926252,0.063997,6018,59688,,9
r1cs-determinism/fb/AND@gates@circomlib.r1cs,Success,,0.001701,0.0,4,3568,0,
r1cs-determinism/fb/AliasCheck@aliascheck@circomlib.r1cs,Success,,0.004125,0.004125,0,3640,0,
r1cs-determinism/fb/BabyAdd@babyjub@circomlib.r1cs,Success,,0.008346,0.0,113,3652,0,
r1cs-determinism/fb/BabyCheck@babyjub@circomlib.r1cs,Success,,0.001649,0.0,0,3660,0,
r1cs-determinism/fb/BabyDbl@babyjub@circomlib.r1cs,Success,,0.00335,0.0,57,3660,0,
r1cs-determinism/fb/BabyPbk@babyjub@circomlib.r1cs,Timedout,,299.73877,0.259978,12838,390440,,9
r1cs-determinism/fb/BinSub@binsub@circomlib_16.r1cs,Timedout,,289.183,11.847303,74,20458988,,9
r1cs-determinism/fb/BinSum@binsum@circomlib_32_2.r1cs,Unknown,,94.941973,11.565905,0,31858204,,9
r1cs-determinism/fb/BinSum@binsum@circomlib_32_5.r1cs,Unknown,,92.974137,12.657023,0,31861120,,9
r1cs-determinism/fb/BitElementMulAny@escalarmulany@circomlib.r1cs,Timedout,,299.211975,0.839955,655,1496508,,9
r1cs-determinism/fb/Bits2Num@bitify@circomlib_1.r1cs,Success,,0.001385,0.0,3,3660,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_128.r1cs,Success,,0.001664,0.0,3,3660,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_16.r1cs,Success,,0.001181,0.0,3,3660,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_253.r1cs,Success,,0.0,0.001913,3,3660,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_254.r1cs,Success,,0.001907,0.0,3,3660,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_256.r1cs,Success,,0.0,0.001901,3,3660,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_32.r1cs,Success,,0.00122,0.0,3,3660,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_64.r1cs,Success,,0.0,0.001311,3,3660,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_8.r1cs,Success,,0.001113,0.0,3,3660,0,
r1cs-determinism/fb/Bits2Num_strict@bitify@circomlib.r1cs,Success,,0.437662,0.007957,1539,6512,0,
r1cs-determinism/fb/Bits2Point@pointbits@circomlib.r1cs,Success,,0.001607,0.0,2,3660,0,
r1cs-determinism/fb/Bits2Point_Strict@pointbits@circomlib.r1cs,Timedout,,299.585238,0.447977,3604,1028592,,9
r1cs-determinism/fb/EdDSAMiMCSpongeVerifier@eddsamimcsponge@circomlib.r1cs,Success,,0.072638,0.13317,0,12048,0,
r1cs-determinism/fb/EdDSAMiMCVerifier@eddsamimc@circomlib.r1cs,Success,,0.095321,0.083406,0,11136,0,
r1cs-determinism/fb/EdDSAPoseidonVerifier@eddsaposeidon@circomlib.r1cs,Success,,0.082856,0.086801,0,10404,0,
r1cs-determinism/fb/Edwards2Montgomery@montgomery@circomlib.r1cs,Success,,0.001411,0.0,12,3660,0,
r1cs-determinism/fb/ForceEqualIfEnabled@comparators@circomlib.r1cs,Success,,0.001113,0.0,0,3660,0,
r1cs-determinism/fb/GreaterEqThan@comparators@circomlib_16.r1cs,Timedout,,297.732125,2.571828,751,7102272,,9
r1cs-determinism/fb/GreaterEqThan@comparators@circomlib_32.r1cs,Timedout,,296.085794,4.223626,137,7004496,,9
r1cs-determinism/fb/GreaterEqThan@comparators@circomlib_8.r1cs,Timedout,,299.319288,0.727959,632,1338576,,9
r1cs-determinism/fb/GreaterThan@comparators@circomlib_16.r1cs,Timedout,,297.758665,2.527818,741,6921244,,9
r1cs-determinism/fb/GreaterThan@comparators@circomlib_32.r1cs,Timedout,,296.076385,4.231776,137,7060596,,9
r1cs-determinism/fb/GreaterThan@comparators@circomlib_8.r1cs,Timedout,,299.448309,0.60396,641,1359140,,9
r1cs-determinism/fb/IsEqual@comparators@circomlib.r1cs,Success,,0.00161,0.0,14,3660,0,
r1cs-determinism/fb/IsZero@comparators@circomlib.r1cs,Success,,0.001208,0.0,7,3660,0,
r1cs-determinism/fb/LessEqThan@comparators@circomlib_16.r1cs,Timedout,,298.100734,2.203887,753,7137544,,9
r1cs-determinism/fb/LessEqThan@comparators@circomlib_32.r1cs,Timedout,,296.158785,4.147702,137,7022856,,9
r1cs-determinism/fb/LessEqThan@comparators@circomlib_8.r1cs,Timedout,,299.340622,0.707963,648,1383588,,9
r1cs-determinism/fb/Montgomery2Edwards@montgomery@circomlib.r1cs,Success,,0.001645,0.0,13,3660,0,
r1cs-determinism/fb/MontgomeryAdd@montgomery@circomlib.r1cs,Success,,0.006225,0.0,74,3692,0,
r1cs-determinism/fb/MontgomeryDouble@montgomery@circomlib.r1cs,Success,,0.013432,0.0,92,3788,0,
r1cs-determinism/fb/Multiplexor2@escalarmulany@circomlib.r1cs,Success,,0.0,0.001195,6,3660,0,
r1cs-determinism/fb/Mux1@mux1@circomlib.r1cs,Success,,0.001228,0.0,12,3660,0,
r1cs-determinism/fb/Mux2@mux2@circomlib.r1cs,Success,,0.001663,0.0,35,3660,0,
r1cs-determinism/fb/Mux3@mux3@circomlib.r1cs,Success,,0.003875,0.0,85,3660,0,
r1cs-determinism/fb/Mux4@mux4@circomlib.r1cs,Success,,30.79261,0.019997,3224,106712,0,
r1cs-determinism/fb/NAND@gates@circomlib.r1cs,Success,,0.001578,0.0,4,3660,0,
r1cs-determinism/fb/NOR@gates@circomlib.r1cs,Success,,0.001674,0.0,4,3660,0,
r1cs-determinism/fb/NOT@gates@circomlib.r1cs,Success,,0.001523,0.0,3,3660,0,
r1cs-determinism/fb/Num2Bits@bitify@circomlib_1.r1cs,Success,,0.0,0.001336,4,3660,0,
r1cs-determinism/fb/Num2Bits@bitify@circomlib_128.r1cs,Unknown,,95.489666,12.830611,0,31863892,,9
r1cs-determinism/fb/Num2Bits@bitify@circomlib_16.r1cs,Timedout,,291.388089,9.502959,103,18905352,,9
r1cs-determinism/fb/Num2Bits@bitify@circomlib_253.r1cs,Unknown,,93.339562,12.127423,0,31869048,,9
r1cs-determinism/fb/Num2Bits@bitify@circomlib_254.r1cs,Unknown,,93.313703,12.696231000000001,0,31874508,,9
