case_name,outcome,self_reported_time,user_time,system_time,max_progress,max_memory_kb,exit_status,exit_signal
maple-like/benchmark.maple:0,Success,22.921959623,23.198107,0.015998,737,36108,0,
maple-like/benchmark.maple:1,Success,4.80264531,5.078107,0.013,2163,17652,0,
maple-like/benchmark.maple:2,Success,2.812951854,3.09578,0.007999,748,18064,0,
maple-like/benchmark.maple:3,Timedout,,299.869141,0.120992,1641,198028,,9
maple-like/benchmark.maple:4,Timedout,,299.876895,0.121993,537,293584,,9
maple-like/benchmark.maple:5,Success,289.07538285,289.26312,0.106994,1783,127180,0,
maple-like/benchmark.maple:6,Timedout,,299.842706,0.159991,1555,350352,,9
maple-like/benchmark.maple:7,Success,4.19269835,4.473366,0.019001,1405,62440,0,
maple-like/benchmark.maple:8,Success,0.115441723,0.400058,0.003,134,6384,0,
maple-like/benchmark.maple:9,Success,1.085844956,1.372021,0.002,305,11988,0,
maple-like/benchmark.maple:10,Success,15.475172605000001,15.754087,0.016,638,49412,0,
maple-like/benchmark.maple:11,Success,152.432836224,152.653598,0.088997,1386,200972,0,
maple-like/benchmark.maple:12,Timedout,,299.874902,0.124994,462,226628,,9
maple-like/benchmark.maple:13,Timedout,,299.898095,0.098995,293,180004,,9
maple-like/benchmark.maple:14,Timedout,,299.938232,0.055998,11185,45184,,9
maple-like/benchmark.maple:15,Success,41.122022894,41.360602,0.087997,3742,256396,0,
maple-like/benchmark.maple:16,Timedout,,299.787859,0.215986,908,474712,,9
maple-like/benchmark.maple:17,Timedout,,299.621852,0.395976,556,842948,,9
maple-like/benchmark.maple:18,Success,27.832191488,28.105504,0.024999,2027,60596,0,
maple-like/benchmark.maple:19,Timedout,,299.928763,0.068997,6017,136344,,9
zokrates-bin/u8_different_from_zero.zok_bin,Success,0.360673527,0.357346,0.005004,251,10476,0,
