case_name,outcome,self_reported_time,user_time,system_time,max_progress,max_memory_kb,exit_status,exit_signal
maple-like/benchmark.maple:0,Success,36.981215375,37.207893,0.018998,735,36104,0,
maple-like/benchmark.maple:1,Success,68.729027378,68.948524,0.027999,6159,39944,0,
maple-like/benchmark.maple:2,Success,2.817387574,3.049555,0.012998,748,18056,0,
maple-like/benchmark.maple:3,Timedout,,299.878888,0.114993,1629,195688,,9
maple-like/benchmark.maple:4,Timedout,,299.854881,0.141992,527,285140,,9
maple-like/benchmark.maple:5,Timedout,,299.902896,0.089995,1821,136732,,9
maple-like/benchmark.maple:6,Timedout,,299.832947,0.167991,1384,337284,,9
maple-like/benchmark.maple:7,Success,4.22123768,4.453697,0.018998,1405,62456,0,
maple-like/benchmark.maple:8,Success,0.17215393,0.411674,0.002997,163,7088,0,
maple-like/benchmark.maple:9,Success,2.000593494,2.240841,0.005999,375,16340,0,
maple-like/benchmark.maple:10,Success,39.801713197,40.01085,0.042997,936,83268,0,
maple-like/benchmark.maple:11,Timedout,,299.886688,0.107994,627,198340,,9
maple-like/benchmark.maple:12,Timedout,,299.880801,0.115994,413,207716,,9
maple-like/benchmark.maple:13,Timedout,,299.880195,0.110993,247,167300,,9
maple-like/benchmark.maple:14,Timedout,,299.952668,0.043999,9813,36124,,9
maple-like/benchmark.maple:15,Success,43.26668004,43.465508,0.084997,3742,256200,0,
maple-like/benchmark.maple:16,Timedout,,299.797008,0.206987,902,468316,,9
maple-like/benchmark.maple:17,Timedout,,299.677455,0.341982,546,814720,,9
maple-like/benchmark.maple:18,Success,5.6617314279999995,5.900751,0.008999,1624,25132,0,
maple-like/benchmark.maple:19,Timedout,,299.931125,0.061997,6017,136688,,9
zokrates-bin/u8_different_from_zero.zok_bin,Success,0.335575905,0.333928,0.002999,250,10140,0,
