case_name,outcome,self_reported_time,user_time,system_time,max_progress,max_memory_kb,exit_status,exit_signal
maple-like/benchmark.maple:0,Success,36.742325672,37.019245,0.016999,736,35928,0,
maple-like/benchmark.maple:1,Success,52.835450556,53.095792,0.030998,6160,38112,0,
maple-like/benchmark.maple:2,Success,2.864067373,3.14704,0.011,749,18120,0,
maple-like/benchmark.maple:3,Timedout,,299.875453,0.118993,1626,194852,,9
maple-like/benchmark.maple:4,Timedout,,299.862972,0.134992,538,293564,,9
maple-like/benchmark.maple:5,Timedout,,299.899385,0.094995,1830,135908,,9
maple-like/benchmark.maple:6,Timedout,,299.839668,0.157989,1385,337616,,9
maple-like/benchmark.maple:7,Success,3.973463802,4.256744,0.015999,1406,62604,0,
maple-like/benchmark.maple:8,Success,0.163034776,0.452307,0.001,164,6580,0,
maple-like/benchmark.maple:9,Success,1.9452796289999998,2.232003,0.006,376,16312,0,
maple-like/benchmark.maple:10,Success,39.148224263,39.405431,0.042999,937,82688,0,
maple-like/benchmark.maple:11,Timedout,,299.888499,0.105994,629,198732,,9
maple-like/benchmark.maple:12,Timedout,,299.871097,0.127994,434,223828,,9
maple-like/benchmark.maple:13,Timedout,,299.899623,0.094995,248,168696,,9
maple-like/benchmark.maple:14,Timedout,,299.967308,0.028999,11832,31240,,9
maple-like/benchmark.maple:15,Success,42.209729413,42.462103,0.075998,3743,256292,0,
maple-like/benchmark.maple:16,Timedout,,299.804523,0.198987,903,468236,,9
maple-like/benchmark.maple:17,Timedout,,299.64037,0.374976,549,824408,,9
maple-like/benchmark.maple:18,Success,5.119001762,5.400449,0.012998,1625,25100,0,
maple-like/benchmark.maple:19,Timedout,,299.919764,0.073997,7104,87084,,9
r1cs-determinism/fb/AND@gates@circomlib.r1cs,Success,,0.0,0.001072,4,3628,0,
r1cs-determinism/fb/AliasCheck@aliascheck@circomlib.r1cs,Success,,0.002424,0.001212,0,3700,0,
r1cs-determinism/fb/BabyAdd@babyjub@circomlib.r1cs,Success,,0.005309,0.001769,113,3716,0,
r1cs-determinism/fb/BabyCheck@babyjub@circomlib.r1cs,Success,,0.000762,0.0,0,3720,0,
r1cs-determinism/fb/BabyDbl@babyjub@circomlib.r1cs,Success,,0.000803,0.000803,57,3720,0,
r1cs-determinism/fb/BabyPbk@babyjub@circomlib.r1cs,Timedout,,299.762773,0.244992,12838,491664,,9
r1cs-determinism/fb/BinSub@binsub@circomlib_16.r1cs,Unknown,,38.843047,3.81171,0,15347160,,9
r1cs-determinism/fb/BinSum@binsum@circomlib_32_2.r1cs,Unknown,,38.614351,4.265376,0,15317972,,9
r1cs-determinism/fb/BinSum@binsum@circomlib_32_5.r1cs,Unknown,,38.441093,5.059617,0,15317776,,9
r1cs-determinism/fb/BitElementMulAny@escalarmulany@circomlib.r1cs,Timedout,,298.977597,1.040932,660,1653920,,9
r1cs-determinism/fb/Bits2Num@bitify@circomlib_1.r1cs,Success,,0.0,0.001413,3,3720,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_128.r1cs,Success,,0.000761,0.000761,3,3720,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_16.r1cs,Success,,0.001005,0.0,3,3720,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_253.r1cs,Success,,0.0,0.001029,3,3720,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_254.r1cs,Success,,0.000684,0.000684,3,3720,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_256.r1cs,Success,,0.0,0.001406,3,3720,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_32.r1cs,Success,,0.0,0.000954,3,3720,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_64.r1cs,Success,,0.001018,0.0,3,3720,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_8.r1cs,Success,,0.0,0.000902,3,3720,0,
r1cs-determinism/fb/Bits2Num_strict@bitify@circomlib.r1cs,Success,,0.283584,0.003006,1539,6200,0,
r1cs-determinism/fb/Bits2Point@pointbits@circomlib.r1cs,Success,,0.0,0.001087,2,3720,0,
r1cs-determinism/fb/Bits2Point_Strict@pointbits@circomlib.r1cs,Unknown,,274.193812,5.823465,3605,15325536,,9
r1cs-determinism/fb/EdDSAMiMCSpongeVerifier@eddsamimcsponge@circomlib.r1cs,Success,,0.012832,0.055607,0,12020,0,
r1cs-determinism/fb/EdDSAMiMCVerifier@eddsamimc@circomlib.r1cs,Success,,0.010873,0.042507,0,10984,0,
r1cs-determinism/fb/EdDSAPoseidonVerifier@eddsaposeidon@circomlib.r1cs,Success,,0.013054,0.040167,0,10532,0,
r1cs-determinism/fb/Edwards2Montgomery@montgomery@circomlib.r1cs,Success,,0.0,0.001291,12,3720,0,
r1cs-determinism/fb/ForceEqualIfEnabled@comparators@circomlib.r1cs,Success,,0.001007,0.0,0,3720,0,
r1cs-determinism/fb/GreaterEqThan@comparators@circomlib_16.r1cs,Timedout,,296.411809,3.75882,617,5031560,,9
r1cs-determinism/fb/GreaterEqThan@comparators@circomlib_32.r1cs,Timedout,,294.46836,5.84659,143,7850668,,9
r1cs-determinism/fb/GreaterEqThan@comparators@circomlib_8.r1cs,Timedout,,299.484856,0.556971,656,1398660,,9
r1cs-determinism/fb/GreaterThan@comparators@circomlib_16.r1cs,Timedout,,296.479753,3.68576,611,4971248,,9
r1cs-determinism/fb/GreaterThan@comparators@circomlib_32.r1cs,Timedout,,294.557822,5.755644,143,7859708,,9
r1cs-determinism/fb/GreaterThan@comparators@circomlib_8.r1cs,Timedout,,299.461973,0.577963,663,1418864,,9
r1cs-determinism/fb/IsEqual@comparators@circomlib.r1cs,Success,,0.000757,0.000757,14,3720,0,
r1cs-determinism/fb/IsZero@comparators@circomlib.r1cs,Success,,0.001219,0.0,7,3720,0,
r1cs-determinism/fb/LessEqThan@comparators@circomlib_16.r1cs,Timedout,,296.432797,3.731783,612,4974468,,9
r1cs-determinism/fb/LessEqThan@comparators@circomlib_32.r1cs,Timedout,,294.437389,5.878628,143,7800236,,9
r1cs-determinism/fb/LessEqThan@comparators@circomlib_8.r1cs,Timedout,,299.45307,0.593976,664,1419712,,9
r1cs-determinism/fb/Montgomery2Edwards@montgomery@circomlib.r1cs,Success,,0.0,0.001416,13,3720,0,
r1cs-determinism/fb/MontgomeryAdd@montgomery@circomlib.r1cs,Success,,0.005339,0.001067,74,3736,0,
r1cs-determinism/fb/MontgomeryDouble@montgomery@circomlib.r1cs,Success,,0.012358,0.00095,92,3820,0,
r1cs-determinism/fb/Multiplexor2@escalarmulany@circomlib.r1cs,Success,,0.000801,0.0,6,3720,0,
r1cs-determinism/fb/Mux1@mux1@circomlib.r1cs,Success,,0.000717,0.0,12,3720,0,
r1cs-determinism/fb/Mux2@mux2@circomlib.r1cs,Success,,0.001107,0.0,35,3720,0,
r1cs-determinism/fb/Mux3@mux3@circomlib.r1cs,Success,,0.001901,0.00095,85,3720,0,
r1cs-determinism/fb/Mux4@mux4@circomlib.r1cs,Success,,41.605491,0.045999,3224,93820,0,
r1cs-determinism/fb/NAND@gates@circomlib.r1cs,Success,,0.0,0.001179,4,3720,0,
r1cs-determinism/fb/NOR@gates@circomlib.r1cs,Success,,0.0,0.000925,4,3720,0,
r1cs-determinism/fb/NOT@gates@circomlib.r1cs,Success,,0.0,0.000883,3,3720,0,
r1cs-determinism/fb/Num2Bits@bitify@circomlib_1.r1cs,Success,,0.0,0.000659,4,3720,0,
r1cs-determinism/fb/Num2Bits@bitify@circomlib_128.r1cs,Unknown,,38.737585,3.519871,0,15335832,,9
r1cs-determinism/fb/Num2Bits@bitify@circomlib_16.r1cs,Unknown,,38.623207,3.532018,0,15312952,,9
r1cs-determinism/fb/Num2Bits@bitify@circomlib_253.r1cs,Unknown,,38.61073,3.991972,0,15316640,,9
r1cs-determinism/fb/Num2Bits@bitify@circomlib_254.r1cs,Unknown,,38.733879,3.886486,0,15327476,,9
r1cs-determinism/fb/Num2Bits@bitify@circomlib_256.r1cs,Unknown,,38.377834,3.665506,0,15313516,,9
r1cs-determinism/fb/Num2Bits@bitify@circomlib_32.r1cs,Unknown,,38.501837,4.020938,0,15331004,,9
r1cs-determinism/fb/Num2Bits@bitify@circomlib_64.r1cs,Unknown,,38.456769,3.588232,0,15311172,,9
r1cs-determinism/fb/Num2Bits@bitify@circomlib_8.r1cs,Timedout,,299.524367,0.485974,1593,1342844,,9
r1cs-determinism/fb/Num2BitsNeg@bitify@circomlib_1.r1cs,Success,,0.0,0.001602,17,3720,0,
r1cs-determinism/fb/Num2BitsNeg@bitify@circomlib_128.r1cs,Unknown,,38.499665,4.029964,0,15318112,,9
r1cs-determinism/fb/Num2BitsNeg@bitify@circomlib_16.r1cs,Unknown,,38.500908,3.662086,0,15316200,,9
r1cs-determinism/fb/Num2BitsNeg@bitify@circomlib_253.r1cs,Unknown,,38.451335,4.162087,0,15318496,,9
r1cs-determinism/fb/Num2BitsNeg@bitify@circomlib_254.r1cs,Unknown,,38.483686,5.239548,0,15318484,,9
r1cs-determinism/fb/Num2BitsNeg@bitify@circomlib_256.r1cs,Unknown,,38.53087,4.452753,0,15316508,,9
r1cs-determinism/fb/Num2BitsNeg@bitify@circomlib_32.r1cs,Unknown,,38.502738,3.447797,0,15317260,,9
r1cs-determinism/fb/Num2BitsNeg@bitify@circomlib_64.r1cs,Unknown,,38.596227,4.015295,0,15343020,,9
r1cs-determinism/fb/Num2BitsNeg@bitify@circomlib_8.r1cs,Timedout,,299.463237,0.492974,1227,696544,,9
r1cs-determinism/fb/Num2Bits_strict@bitify@circomlib.r1cs,Unknown,,38.836518,4.091317,0,15319668,,9
r1cs-determinism/fb/OR@gates@circomlib.r1cs,Success,,0.0,0.005189,4,3720,0,
r1cs-determinism/fb/Pedersen@pedersen@circomlib_1.r1cs,Timedout,,299.245826,0.792967,2078,1269952,,9
r1cs-determinism/fb/Pedersen@pedersen@circomlib_128.r1cs,Timedout,,299.530465,0.513987,6140,1288044,,9
r1cs-determinism/fb/Pedersen@pedersen@circomlib_16.r1cs,Timedout,,298.261204,1.857901,1137,3502672,,9
r1cs-determinism/fb/Pedersen@pedersen@circomlib_253.r1cs,Timedout,,299.865719,0.131995,11981,146892,,9
r1cs-determinism/fb/Pedersen@pedersen@circomlib_254.r1cs,Timedout,,299.88018,0.118996,11955,142416,,9
r1cs-determinism/fb/Pedersen@pedersen@circomlib_256.r1cs,Timedout,,299.884637,0.113996,11966,144960,,9
r1cs-determinism/fb/Pedersen@pedersen@circomlib_32.r1cs,Timedout,,298.668139,1.442942,1762,3316028,,9
r1cs-determinism/fb/Pedersen@pedersen@circomlib_64.r1cs,Timedout,,299.271428,0.794974,3150,1906100,,9
r1cs-determinism/fb/Pedersen@pedersen@circomlib_8.r1cs,Timedout,,299.622702,0.392983,2796,609268,,9
r1cs-determinism/fb/Pedersen@pedersen_old@circomlib_1.r1cs,Success,,0.008395,0.002098,210,3720,0,
r1cs-determinism/fb/Pedersen@pedersen_old@circomlib_128.r1cs,Timedout,,299.884133,0.117997,7410,171556,,9
r1cs-determinism/fb/Pedersen@pedersen_old@circomlib_16.r1cs,Timedout,,299.825226,0.180995,5132,310308,,9
r1cs-determinism/fb/Pedersen@pedersen_old@circomlib_253.r1cs,Timedout,,299.926241,0.071998,10148,97708,,9
r1cs-determinism/fb/Pedersen@pedersen_old@circomlib_254.r1cs,Timedout,,299.931658,0.066998,10155,98096,,9
r1cs-determinism/fb/Pedersen@pedersen_old@circomlib_256.r1cs,Timedout,,299.920685,0.077998,10175,89376,,9
r1cs-determinism/fb/Pedersen@pedersen_old@circomlib_32.r1cs,Timedout,,299.844819,0.160995,5393,282520,,9
r1cs-determinism/fb/Pedersen@pedersen_old@circomlib_64.r1cs,Timedout,,299.876854,0.125996,6060,232964,,9
r1cs-determinism/fb/Pedersen@pedersen_old@circomlib_8.r1cs,Success,,0.227729,0.003009,754,6532,0,
r1cs-determinism/fb/Point2Bits@pointbits@circomlib.r1cs,Unknown,,38.806783,8.198236,0,15318440,,9
r1cs-determinism/fb/Point2Bits_Strict@pointbits@circomlib.r1cs,Unknown,,38.9704,4.187323,0,15275020,,9
r1cs-determinism/fb/SMTHash1@smthash_mimc@circomlib.r1cs,Timedout,,299.859626,0.111997,16028,139600,,9
r1cs-determinism/fb/SMTHash1@smthash_poseidon@circomlib.r1cs,Timedout,,299.757465,0.241991,4395,421944,,9
r1cs-determinism/fb/SMTHash2@smthash_mimc@circomlib.r1cs,Timedout,,299.88737,0.107995,16965,131848,,9
r1cs-determinism/fb/SMTHash2@smthash_poseidon@circomlib.r1cs,Timedout,,299.900449,0.099997,5157,187464,,9
r1cs-determinism/fb/SMTProcessorSM@smtprocessorsm@circomlib.r1cs,Success,,0.002616,0.000872,34,3720,0,
r1cs-determinism/fb/SMTVerifierSM@smtverifiersm@circomlib.r1cs,Success,,0.001713,0.000856,38,3720,0,
r1cs-determinism/fb/Sha256_2@sha256_2@circomlib.r1cs,Timedout,,299.347306,0.621967,42697,313016,,9
r1cs-determinism/fb/Sha256compression@sha256compression@circomlib.r1cs,Unknown,,38.419579,3.900043,0,15301392,,9
r1cs-determinism/fb/Sigma@poseidon@circomlib.r1cs,Success,,0.001266,0.0038,24,3720,0,
r1cs-determinism/fb/Sigma@poseidon_old@circomlib.r1cs,Success,,0.0,0.001259,24,3720,0,
r1cs-determinism/fb/SigmaPlus@sigmaplus@circomlib.r1cs,Unknown,,38.787537,4.068741,0,15274360,,9
r1cs-determinism/fb/Sign@sign@circomlib.r1cs,Unknown,,133.931217,4.141635,1048,15299604,,9
r1cs-determinism/fb/Switcher@switcher@circomlib.r1cs,Success,,0.0,0.004101,7,3720,0,
r1cs-determinism/fb/T1@t1@circomlib.r1cs,Unknown,,38.488118,3.616292,0,15276092,,9
r1cs-determinism/fb/T2@t2@circomlib.r1cs,Unknown,,38.641286,3.459309,0,15268396,,9
r1cs-determinism/fb/Window4@pedersen@circomlib.r1cs,Timedout,,299.466441,0.532981,2144,870272,,9
r1cs-determinism/fb/WindowMulFix@escalarmulfix@circomlib.r1cs,Timedout,,299.47025,0.549972,2142,874868,,9
r1cs-determinism/fb/XOR@gates@circomlib.r1cs,Success,,0.0,0.001437,4,3720,0,
zokrates-bin/u8_different_from_zero.zok_bin,Success,0.314573541,0.317234,0.0,251,9964,0,
