case_name,outcome,self_reported_time,user_time,system_time,max_progress,max_memory_kb,exit_status,exit_signal
maple-like/benchmark.maple:0,Success,33.68659391,33.957362,0.015999,736,36648,0,
maple-like/benchmark.maple:1,Success,44.492343872,44.756632,0.023999,6160,38492,0,
maple-like/benchmark.maple:2,Success,2.605158988,2.887548,0.008001,749,18284,0,
maple-like/benchmark.maple:3,Timedout,,299.858896,0.124989,1648,198780,,9
maple-like/benchmark.maple:4,Timedout,,299.823815,0.155984,562,315640,,9
maple-like/benchmark.maple:5,Timedout,,299.884293,0.098992,1635,120800,,9
maple-like/benchmark.maple:6,Timedout,,299.857971,0.136991,1334,308724,,9
maple-like/benchmark.maple:7,Success,3.774487614,4.051222,0.019001,1406,62752,0,
maple-like/benchmark.maple:8,Success,0.154789228,0.439984,0.000999,164,7476,0,
maple-like/benchmark.maple:9,Success,2.180812594,2.466512,0.003999,376,16504,0,
maple-like/benchmark.maple:10,Success,40.71809714,40.987636,0.027999,937,84304,0,
maple-like/benchmark.maple:11,Timedout,,299.886115,0.105994,642,209548,,9
maple-like/benchmark.maple:12,Timedout,,299.876065,0.117993,467,252624,,9
maple-like/benchmark.maple:13,Timedout,,299.874649,0.114994,248,171756,,9
maple-like/benchmark.maple:14,Timedout,,299.973106,0.039001,11903,31472,,9
maple-like/benchmark.maple:15,Success,18.259416342,18.512653,0.073002,3743,261460,0,
maple-like/benchmark.maple:16,Timedout,,299.809896,0.198993,919,483984,,9
maple-like/benchmark.maple:17,Timedout,,299.653743,0.363982,557,842160,,9
maple-like/benchmark.maple:18,Success,3.931007773,4.203343,0.015997,1625,25648,0,
maple-like/benchmark.maple:19,Timedout,,299.942301,0.052998,7104,71256,,9
r1cs-determinism/fb/AND@gates@circomlib.r1cs,Success,,0.001271,0.0,4,3464,0,
r1cs-determinism/fb/AliasCheck@aliascheck@circomlib.r1cs,Success,,0.002429,0.000809,0,3544,0,
r1cs-determinism/fb/BabyAdd@babyjub@circomlib.r1cs,Success,,0.006171,0.001028,113,3740,0,
r1cs-determinism/fb/BabyCheck@babyjub@circomlib.r1cs,Success,,0.0,0.000932,0,3556,0,
r1cs-determinism/fb/BabyDbl@babyjub@circomlib.r1cs,Success,,0.001736,0.0,57,3556,0,
r1cs-determinism/fb/BabyPbk@babyjub@circomlib.r1cs,Timedout,,299.81112,0.195994,12838,464680,,9
r1cs-determinism/fb/BinSub@binsub@circomlib_16.r1cs,Unknown,,39.494358,3.993036,0,15331060,,9
r1cs-determinism/fb/BinSum@binsum@circomlib_32_2.r1cs,Unknown,,39.459853,3.388901,0,15299368,,9
r1cs-determinism/fb/BinSum@binsum@circomlib_32_5.r1cs,Unknown,,40.556427,6.371595,0,15302904,,9
r1cs-determinism/fb/BitElementMulAny@escalarmulany@circomlib.r1cs,Timedout,,298.814306,1.211948,661,1734328,,9
r1cs-determinism/fb/Bits2Num@bitify@circomlib_1.r1cs,Success,,0.001323,0.0,3,3556,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_128.r1cs,Success,,0.001127,0.0,3,3556,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_16.r1cs,Success,,0.0,0.001111,3,3556,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_253.r1cs,Success,,0.0,0.001702,3,3648,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_254.r1cs,Success,,0.000754,0.000754,3,3556,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_256.r1cs,Success,,0.001019,0.0,3,3628,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_32.r1cs,Success,,0.000968,0.0,3,3556,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_64.r1cs,Success,,0.0,0.00075,3,3556,0,
r1cs-determinism/fb/Bits2Num@bitify@circomlib_8.r1cs,Success,,0.0,0.000918,3,3556,0,
r1cs-determinism/fb/Bits2Num_strict@bitify@circomlib.r1cs,Success,,0.336219,0.004988,1539,7008,0,
r1cs-determinism/fb/Bits2Point@pointbits@circomlib.r1cs,Success,,0.0,0.001301,2,3556,0,
r1cs-determinism/fb/Bits2Point_Strict@pointbits@circomlib.r1cs,Timedout,,296.969857,3.471822,3605,14490196,,9
r1cs-determinism/fb/EdDSAMiMCSpongeVerifier@eddsamimcsponge@circomlib.r1cs,Success,,0.009029,0.056181,0,12124,0,
r1cs-determinism/fb/EdDSAMiMCVerifier@eddsamimc@circomlib.r1cs,Success,,0.009034,0.047179,0,11256,0,
r1cs-determinism/fb/EdDSAPoseidonVerifier@eddsaposeidon@circomlib.r1cs,Success,,0.009866,0.043413,0,10552,0,
r1cs-determinism/fb/Edwards2Montgomery@montgomery@circomlib.r1cs,Success,,0.0,0.00136,12,3556,0,
r1cs-determinism/fb/ForceEqualIfEnabled@comparators@circomlib.r1cs,Success,,0.0,0.001408,0,3556,0,
r1cs-determinism/fb/GreaterEqThan@comparators@circomlib_16.r1cs,Timedout,,295.322018,4.929716,789,7747548,,9
r1cs-determinism/fb/GreaterEqThan@comparators@circomlib_32.r1cs,Timedout,,294.56277,5.745605,142,7673532,,9
r1cs-determinism/fb/GreaterEqThan@comparators@circomlib_8.r1cs,Timedout,,299.365242,0.682968,706,1554472,,9
r1cs-determinism/fb/GreaterThan@comparators@circomlib_16.r1cs,Timedout,,295.284383,4.968703,799,7892712,,9
r1cs-determinism/fb/GreaterThan@comparators@circomlib_32.r1cs,Timedout,,294.550934,5.762705,142,7672244,,9
r1cs-determinism/fb/GreaterThan@comparators@circomlib_8.r1cs,Timedout,,299.449608,0.594965,704,1544804,,9
r1cs-determinism/fb/IsEqual@comparators@circomlib.r1cs,Success,,0.000744,0.000744,14,3556,0,
r1cs-determinism/fb/IsZero@comparators@circomlib.r1cs,Success,,0.000729,0.000729,7,3556,0,
r1cs-determinism/fb/LessEqThan@comparators@circomlib_16.r1cs,Timedout,,295.301868,4.946662,787,7716384,,9
r1cs-determinism/fb/LessEqThan@comparators@circomlib_32.r1cs,Timedout,,294.61776,5.697724,142,7741492,,9
r1cs-determinism/fb/LessEqThan@comparators@circomlib_8.r1cs,Timedout,,299.40138,0.645966,706,1555252,,9
r1cs-determinism/fb/Montgomery2Edwards@montgomery@circomlib.r1cs,Success,,0.000701,0.000701,13,3556,0,
r1cs-determinism/fb/MontgomeryAdd@montgomery@circomlib.r1cs,Success,,0.005757,0.000959,74,3792,0,
r1cs-determinism/fb/MontgomeryDouble@montgomery@circomlib.r1cs,Success,,0.013277,0.0,92,3824,0,
r1cs-determinism/fb/Multiplexor2@escalarmulany@circomlib.r1cs,Success,,0.0,0.00128,6,3556,0,
r1cs-determinism/fb/Mux1@mux1@circomlib.r1cs,Success,,0.000734,0.0,12,3556,0,
r1cs-determinism/fb/Mux2@mux2@circomlib.r1cs,Success,,0.001149,0.0,35,3556,0,
r1cs-determinism/fb/Mux3@mux3@circomlib.r1cs,Success,,0.001927,0.000963,85,3556,0,
